id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B1_1,0,5,A1,7.5YR,6,4,7.5YR,4,4,SiL,40,VF,5,7.8,ST,0.253328306,0.058631164,19.46971424,,1895.879054,40,1,LV,0,1
B1_1,5,20,A2,7.5YR,6,4,7.5YR,3,4,SiL,40,VF,5,8,VE,0.253328306,0.058631164,19.46971424,,NA,NA,NA,NA,NA,NA
B1_1,20,25,BA,5YR,7,6,7.5YR,4,4,LS,85,MIX,5,8,VE,0.070626535,0.045199005,2.542753,,NA,NA,NA,NA,NA,NA
B1_1,25,40,B,7.5YR,5,4,7.5YR,4,4,LS,85,MIX,5,8,VE,0.070626535,0.045199005,2.542753,,NA,NA,NA,NA,NA,NA
B1_1,40,95,B2,7.5YR,5,4,7.5YR,4,4,SL,55,F,7,8,VE,0.194530427,0.066222367,12.83080608,,NA,NA,NA,NA,NA,NA
B1_1,95,150,B3,5YR,7,4,7.5YR,4,4,SL,60,F,7,8,VE,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B1_1,150,188,Ab,7.5YR,6,4,7.5YR,4,4,LS,85,MIX,7,8.2,VE,0.081049151,0.049641242,3.140790895,,NA,NA,NA,NA,NA,NA
B1_2,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,60,F,5,7.8,NE,0.178911483,0.06204064,11.68708431,,1874.542794,100,6,LC,0,1
B1_2,6,15,B,7.5YR,6,4,7.5YR,5,4,SL,65,F,5,8.2,VS,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B1_2,15,51,B,7.5YR,6,4,7.5YR,4,4,SL,70,F,5,8.4,ST,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B1_2,51,51,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B1_3,0,7,A,5YR,6,4,5YR,4,4,SL,60,F,5,7.8,SL,0.178911483,0.06204064,11.68708431,,1876.981224,170,4,VL,1,1
B1_3,7,65,B,5YR,6,4,5YR,4,4,SL,65,F,5,8,ST,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B1_3,65,114,BC,5YR,7,4,5YR,5,4,SL,75,F,10,8.6,ST,0.142929541,0.060082649,8.284689241,,NA,NA,NA,NA,NA,NA
B1_3,114,200,C,5YR,7,4,5YR,5,4,LS,80,MIX,3,8.1,ST,0.083890239,0.038355544,4.553469578,,NA,NA,NA,NA,NA,NA
B1_4,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,55,F,7,7.6,SL,0.194530427,0.066222367,12.83080608,,1885.820532,30,3,LC,0,1
B1_4,6,12,B,7.5YR,6,4,7.5YR,5,4,LS,55,F,7,7.8,ST,0.194530427,0.066222367,12.83080608,,NA,NA,NA,NA,NA,NA
B1_4,12,18,B2,7.5YR,7,4,7.5YR,4,4,LS,75,MIX,3,7.8,ST,0.112720965,0.041797128,7.092383724,,NA,NA,NA,NA,NA,NA
B1_4,18,130,B3,7.5YR,6,4,7.5YR,4,4,SL,65,F,10,7.8,SL,0.17465399,0.070339948,10.43140426,,NA,NA,NA,NA,NA,NA
B1_4,130,187,B4,7.5YR,6,6,7.5YR,4,6,SL,75,F,5,NA,NA,0.121022648,0.046719307,7.430334021,,NA,NA,NA,NA,NA,NA
B1_5,0,6,A,7.5YR,5,4,7.5YR,4,4,SL,55,F,5,6.8,NE,0.193537487,0.062486104,13.10513826,,1882.772495,60,4,LC,1,0
B1_5,6,20,B,7.5YR,5,6,7.5YR,4,4,SL,65,F,5,7.6,SL,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B1_5,20,35,B2,7.5YR,6,6,7.5YR,4,4,SL,60,F,5,8.2,ST,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B1_5,35,100,B3,7.5YR,7,4,7.5YR,5,6,SL,70,F,5,8.4,VE,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B1_5,100,153,B4,7.5YR,6,6,7.5YR,4,6,SL,55,F,5,8.5,VE,0.193537487,0.062486104,13.10513826,,NA,NA,NA,NA,NA,NA
B1_5,153,153,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B1_6,0,5,A,7.5YR,6,4,7.5YR,4,4,SL,65,F,5,7.8,VS,0.16366872,0.059024459,10.46442617,,1880.029261,270,3,VV,1,0
B1_6,5,34,B,5YR,6,4,5YR,5,4,LS,70,F,5,8.2,SL,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B1_6,34,53,B2,5YR,7,4,5YR,5,4,SL,75,F,7,8.2,ST,0.129567114,0.051883922,7.768319141,,NA,NA,NA,NA,NA,NA
B1_6,35,59,Cr,5YR,8,3,5YR,7,4,SL,65,M,5,8.4,VE,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B1_6,59,59,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B1_7,0,7,A,7.5YR,5,4,7.5YR,3,3,SL,60,F,5,7,NE,0.178911483,0.06204064,11.68708431,,1891.611802,0,5,LC,1,1
B1_7,7,20,AB,7.5YR,5,4,7.5YR,4,4,SL,60,F,5,7.6,SL,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B1_7,20,105,B,7.5YR,6,4,7.5YR,4,4,SL,60,F,5,8.2,ST,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B1_7,105,116,C,7.5YR,8,2,7.5YR,6,4,SL,65,F,5,8.6,VE,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B1_8,0,6,A,7.5YR,6,4,7.5YR,4,3,SL,80,F,7,7.8,SL,0.104209268,0.047858639,5.635062899,,1873.32358,320,2,LL,0,1
B1_8,6,65,B,7.5YR,7,4,7.5YR,5,4,SL,70,F,5,8.1,ST,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B1_8,65,113,BC,7.5YR,7,4,7.5YR,4,4,SL,80,F,5,8.1,ST,0.093772599,0.042975928,5.079667113,,NA,NA,NA,NA,NA,NA
B1_8,113,148,C,7.5YR,7,4,7.5YR,6,4,SL,80,F,5,8.1,ST,0.093772599,0.042975928,5.079667113,,NA,NA,NA,NA,NA,NA
B1_8,148,200,Ab,7.5YR,6,4,7.5YR,4,4,SL,60,F,10,8.1,ST,0.18588602,0.072333525,11.35524954,,NA,NA,NA,NA,NA,NA
B1_9,0,4,A,7.5YR,6,4,7.5YR,4,4,SL,50,F,5,7.6,VS,0.210873721,0.061173304,14.97004172,,1892.221409,20,5,CL,0,1
B1_9,4,20,B,5YR,5,6,5YR,4,4,SL,60,F,5,7.8,VS,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B1_9,20,46,B2,5YR,6,4,5YR,5,6,SL,55,F,5,8,ST,0.193537487,0.062486104,13.10513826,,NA,NA,NA,NA,NA,NA
B1_9,46,75,B3,5YR,7,4,5YR,5,4,SL,55,MIX,7,8.2,ST,0.194530427,0.066222367,12.83080608,,NA,NA,NA,NA,NA,NA
B1_9,75,100,B4,5YR,6,4,5YR,4,4,SL,60,F,7,8.2,ST,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B1_9,100,160,B5,5YR,6,6,5YR,5,4,L,45,F,7,8.4,ST,0.230085589,0.063369427,16.67161622,,NA,NA,NA,NA,NA,NA
B1_9,160,180,B6,5YR,7,4,5YR,5,4,SL,55,F,10,8.6,VE,0.196941126,0.072335852,12.46052744,,NA,NA,NA,NA,NA,NA
B1_9,180,180,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
