id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,FGr,Gr,CoGr,CB,CH,SandPercent,SandSize,ClayPercent,pH,Effervescence,Elevation,Elevation,Landform,Aspect,Slope,SlopeShape,ParentMaterial1,ParentMaterial2,BedrockGeology1,BedrockGeology2,SoilDepthClass,CarbonateStage,BioticCrustClass
B1_1,0,5,A1,7.5YR,6,4,7.5YR,4,4,SiL,1,NA,NA,NA,NA,40,VF,5,7.8,ST,6220,1895.879054,BS,40,1,LV,Eolian,NA,Sandstone,Silicate,Very Deep,0,1
B1_1,5,20,A2,7.5YR,6,4,7.5YR,3,4,SiL,1,2,NA,NA,NA,40,VF,5,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_1,20,25,BA,5YR,7,6,7.5YR,4,4,LS,NA,1,NA,NA,NA,85,MIX,5,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_1,25,40,B,7.5YR,5,4,7.5YR,4,4,LS,NA,8,NA,NA,2,85,MIX,5,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_1,40,95,B2,7.5YR,5,4,7.5YR,4,4,SL,NA,10,NA,NA,5,55,F,7,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_1,95,150,B3,5YR,7,4,7.5YR,4,4,SL,NA,8,NA,NA,NA,60,F,7,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_1,150,188,Ab,7.5YR,6,4,7.5YR,4,4,LS,NA,5,NA,NA,1,85,MIX,7,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_2,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,60,F,5,7.8,NE,6150,1874.542794,BS,100,6,LC,Eolian,Residuum,Sandstone,NA,Moderately Deep,0,1
B1_2,6,15,B,7.5YR,6,4,7.5YR,5,4,SL,NA,NA,NA,NA,NA,65,F,5,8.2,VS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_2,15,51,B,7.5YR,6,4,7.5YR,4,4,SL,2,NA,NA,NA,NA,70,F,5,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
