id,maxClay,minClay,maxSand,minSand,maxDepth,maxpH,minpH,maxDryValue,minDryValue,maxDryChroma,minDryChroma,maxMoistValue,minMoistValue,maxMoistChroma,minMoistChroma,Surface,Subsurface,Depth50,Depth100,Depth150,Depth200,AWC25,AWC50,AWC100,MaxAWC,TotalAWC,Elevation,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B1_1,7,5,85,40,188,8.2,7.8,7,5,6,4,4,3,4,4,4,4,1,1,1,0,16.08432199,11.37114811,12.03653698,19.46971424,71.53853531,1895.879054,1,LV,0,1
B1_10,15,5,75,30,44,8.2,7.8,6,5,6,4,4,3,4,3,3,4,0,0,0,0,19.22062115,14.87560293,14.87560293,22.58434366,55.88506906,1887.039746,2,LV,0,0
B1_2,5,5,70,60,51,8.4,7.8,6,6,4,4,5,4,4,4,4,4,1,0,0,0,10.23421516,9.694759464,9.684181901,11.68708431,31.30681425,1874.542794,6,CL,0,1
B1_3,10,3,80,60,200,8.6,7.8,7,6,4,4,5,4,4,4,4,4,1,1,1,1,10.80677045,10.63559831,9.787104315,11.68708431,34.9896693,1876.981224,4,LV,1,1
B1_4,10,3,75,55,187,7.8,7.6,7,6,6,4,5,4,6,4,4,4,1,1,1,0,10.7817522,10.60657823,10.51899125,12.83080608,50.61573417,1885.820532,3,CL,0,1
B1_5,5,5,70,55,153,8.5,6.8,7,5,6,4,5,4,6,4,4,4,1,1,1,0,11.3427287,10.75537234,9.955338054,13.10513826,57.51709077,1882.772495,4,CL,1,0
B1_6,7,5,75,65,59,8.4,7.8,8,6,4,3,7,4,4,4,4,4,1,0,0,0,9.417128247,8.842380926,8.952721369,10.46442617,37.85247525,1880.029261,3,VV,1,0
B1_7,5,5,65,60,116,8.6,7,8,5,4,2,6,3,4,3,3,4,1,1,0,0,11.68708431,11.68708431,11.68708431,11.68708431,45.5256791,1891.611802,5,CL,1,1
B1_8,10,5,80,60,200,8.1,7.8,7,6,4,4,6,4,4,3,3,4,1,1,1,1,8.310445958,8.732874862,7.517616485,11.35524954,36.30495043,1873.32358,2,LL,0,1
B1_9,10,5,60,45,180,8.6,7.6,7,5,6,4,5,4,6,4,4,4,1,1,1,0,12.49596829,12.7786067,12.48250583,16.67161622,93.26721788,1892.221409,5,CL,0,1
B2_1,5,3,75,55,200,8.4,7.6,7,6,4,3,5,4,4,4,4,4,1,1,1,1,11.20382556,11.005298,11.07050912,13.10513826,42.34903246,1880.943672,4,LL,0,0
B2_10,8,3,75,45,200,8.6,6.4,7,4,6,4,5,3,4,4,4,4,1,1,1,1,15.71572074,15.03600657,14.69614948,16.41742319,52.83614103,1880.334065,1,VV,1,1
B2_2,7,3,80,50,200,8.4,7.8,8,6,8,1,7,5,6,4,4,4,1,1,1,1,14.97004172,12.88672729,8.789983778,14.97004172,81.54107087,1881.55328,4,LV,0,2
