"id","Elevation","Aspect","Slope","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.SandPercent","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DWA_AWC","Tot.DryRed","Tot.DryValue","Tot.DryCClass","Tot.MoistRed","Tot.MoistValue","Tot.MoistCClass","Tot.EfferScale","DWAClay","DWASand","DWApH","DWA.AWHC","Sand.50","Clay.50","pH.50","DryValue.50","EfferScale.50","AWHC.50","MaxClay","MaxSand","MaxpH","MaxDryValue","MaxAWHC","MaxEffervescence","SlopeShape","DepthClass","H1.Texture","H1.SandSize","Tot.Texture","Tot.SandSize"
"B1_1",1895.879054,40,1,0,1,188,0,"2",6,"2","2",4,"2",40,5,7.8,"3",5,0.51781154893617,"2","5","2","2","4","2","4",6.57446808510638,64.1223404255319,8.03510638297872,10.1069358774468,55,7,8,5,"4",12.83080608,7,85,8.2,7,19.46971424,"4","LV","VeryDeep","SiL","VF","SL","F"
"B1_10",1887.039746,344,2,0,0,180,0,"2",5,"2","2",3,"2",50,5,7.8,"1",4,0.332667593777778,"2","5","2","3","4","2","2",7.36363636363636,53.5227272727273,8.05454545454545,14.8756029268636,70,5,8.2,6,"4",9.155303766,15,75,8.2,6,22.58434366,"4","LV","VeryDeep","SL","VF","SL","F"
"B1_2",1874.542794,100,6,0,1,44,0,"2",6,"2","2",4,"2",60,5,7.8,"0",6,1.593693315,"2","6","2","2","4","2","3",5,67.9411764705882,8.29411764705882,9.68418190129412,70,5,8.4,6,"3",9.155303766,5,70,8.4,6,10.46442617,"3","CL","Shallow","SL","F","SL","F"
"B1_3",1876.981224,170,4,1,1,51,0,"3",6,"2","3",4,"2",60,5,7.8,"2",7,1.60410961117647,"3","7","2","3","5","2","3",5.365,73.725,8.183,7.431472322735,65,5,8,6,"3",10.46442617,10,80,8.6,7,10.46442617,"3","LV","ModeratelyDeep","SL","F","SL","F"
"B1_4",1885.820532,30,3,0,1,200,1,"2",6,"2","2",4,"2",55,7,7.6,"2",6,0.3849241824,"2","6","2","2","4","2","2",8.05882352941176,67.7272727272727,7.79076923076923,9.56347749529947,65,10,7.8,6,"2",10.43140426,10,75,7.8,7,12.83080608,"3","CL","VeryDeep","SL","F","SL","F"
"B1_5",1882.772495,60,4,1,0,187,0,"2",5,"2","2",4,"2",55,5,6.8,"0",6,0.420485719572192,"2","6","3","2","4","3","4",5,62.7777777777778,8.27908496732026,11.0464453147712,70,5,8.4,7,"4",9.155303766,5,70,8.5,7,13.10513826,"4","CL","VeryDeep","SL","F","SL","F"
"B1_6",1880.029261,270,3,1,0,153,0,"2",6,"2","2",4,"2",65,5,7.8,"1",5,0.341974711437908,"3","6","2","3","5","2","2",5.64406779661017,70.6779661016949,8.1864406779661,8.95272136886441,75,7,8.2,7,"3",7.768319141,7,75,8.4,8,10.46442617,"4","VV","VeryDeep","SL","F","SL","F"
"B1_7",1891.611802,0,5,1,1,59,0,"2",5,"2","2",3,"2",60,5,7,"0",7,1.38660322322034,"2","6","2","2","4","2","3",5,60.4741379310345,8.09827586206896,11.5711425898276,60,5,8.2,6,"3",11.68708431,5,65,8.6,8,11.68708431,"4","CL","ModeratelyDeep","SL","F","SL","F"
"B1_8",1873.32358,320,2,0,1,116,0,"2",6,"2","2",4,"2",80,7,7.8,"2",6,0.291468770637931,"2","7","2","2","4","2","3",6.36,71.85,8.091,7.930293230235,70,5,8.1,7,"3",9.155303766,10,80,8.1,7,11.35524954,"3","LL","Deep","SL","F","SL","F"
"B1_9",1892.221409,20,5,0,1,200,1,"2",6,"2","2",4,"2",50,5,7.6,"1",4,0.2994008344,"3","6","2","3","5","2","3",6.82222222222222,52.6944444444444,8.23333333333333,13.8764339176111,55,7,8.2,7,"3",12.83080608,10,60,8.6,7,16.67161622,"4","CL","VeryDeep","SL","F","SL","F"
"B2_1",1880.943672,350,4,0,0,200,1,"2",6,"2","2",4,"2",55,5,7.6,"1",7,0.4586798391,"3","7","2","3","5","2","3",3.94,68.675,8.213,9.08144642247,60,5,8.2,7,"3",11.68708431,5,75,8.4,7,11.68708431,"3","LL","VeryDeep","SL","F","LS","M"
