"id","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DryHue","H1.MoistHue","H1.DryChroma","H1.MoistChroma","H1.Effervescence","H1.DWA_AWC","Tot.DryRed","Tot.DryHue","Tot.DryValue","Tot.DryCClass","Tot.DryChroma","Tot.MoistRed","Tot.MoistHue","Tot.MoistValue","Tot.MoistCClass","Tot.MoistChroma","Tot.Texture","Tot.SandSize","Tot.Effervescence","Tot.EfferScale","Sub.DryRed","Sub.DryHue","Sub.DryValue","Sub.DryCClass","Sub.DryChroma","Sub.MoistRed","Sub.MoistHue","Sub.MoistValue","Sub.MoistCClass","Sub.MoistChroma","Sub.Texture","Sub.SandSize","Sub.Effervescence","Sub.EfferScale","AWC.0.25","AWC.0.50","AWC.0.100","AWC.0.150","AWC.0.200","AWC.25.50","AWC.50.100","AWC.100.150","AWC.150.200","DWAClay","DWASand","DWApH","SubDWAClay","SubDWASand","SubDWApH","SubAWC"
"1",2003.498047,104,15,"CL",0,1,30,0,"2",6,"2","2",5,"2","S",95,"M",3,8.2,"2",12,"7.5YR","7.5YR","3",3,"SL",0.0494237344,"2","7.5YR","6","2","3","2","7.5YR","4","2","3","S","F","VE","4","2","7.5YR","6","2","3","2","7.5YR","4","2","3","S","F","VE","4",0.10694363196,0.1043873698,0.1043873698,0.1043873698,0.1043873698,0.091606059,NA,NA,NA,2.4,95,8.26,2,95,8.3,0.091606059
"10",1953.990723,352,5,"VV",1,1,53,0,"3",6,"3","3",4,"2","LS",85,"VF",5,8.1,"4",9,"5YR","5YR","6",4,"VE",0.431788245283019,"3","5YR","7","3","6","3","5YR","4","2","4","LS","F","VE","4","3","5YR","7","2","4","3","5YR","5","2","4","LS","F","VE","4",6.21759219424,4.26573113838,4.10916149677359,4.10916149677359,4.10916149677359,2.31387008252,1.49966747,NA,NA,6.32075471698113,82.3584905660377,8.33584905660377,6.59090909090909,81.8181818181818,8.38409090909091,4.42956323475
"100",1898,53,3,"CL",1,1,155,0,"2",6,"2","2",3,"2","SL",76,"VF",9,7.8,"0",5,"7.5YR","7.5YR","4",3,"NE",0.251141776516129,"3","5YR","6","3","6","3","5YR","4","2","4","SL","VF","VE","4","3","5YR","6","3","6","3","5YR","4","2","4","SL","VF","VE","4",9.151730576,9.322522514,9.47992114028,9.35416473265333,9.34272933879355,9.493314452,9.63731976656,9.1026519174,8.999667523,12.2064516129032,72.0129032258065,8.09032258064516,12.3133333333333,71.88,8.1,9.39464048102
"11",1947.742188,16,4,"CL",1,1,150,0,"3",6,"3","3",4,"3","LS",85,"VF",8,8.1,"4",7,"5YR","5YR","6",6,"VE",0.16226865648,"3","5YR","5","3","6","3","5YR","4","2","4","SL","VF","VE","4","3","5YR","5","3","6","3","5YR","4","2","4","SL","VF","VE","4",3.01081952664,2.92013725482,4.30548392263,5.51667404242,5.51667404242,2.829454983,5.69083059044,7.939054282,NA,7.13333333333333,79.8,8.44666666666667,7.09090909090909,79.5454545454545,8.46363636363636,5.61650914609091
"12",1966.968262,287,12,"LV",0,1,65,0,"3",5,"2","3",4,"2","LS",85,"VF",5,8.1,"4",9,"5YR","5YR","4",4,"VE",0.352073492307692,"3","5YR","4","2","4","3","5YR","3","2","4","SL","F","VE","4","3","5YR","4","2","4","3","5YR","3","2","4","SL","F","VE","4",6.21759219424,7.25114071762,7.48965191532308,7.48965191532308,7.48965191532308,8.284689241,8.284689241,NA,NA,9.30769230769231,76.3846153846154,8.35846153846154,10,75,8.4,8.284689241
"13",1947.501709,34,5,"CV",1,1,150,0,"2",5,"3","2",4,"3","SL",75,"VF",10,8.1,"4",13,"7.5YR","7.5YR","6",6,"VE",0.718006400886667,"2","7.5YR","7","2","4","2","7.5YR","5","3","6","S","VF","VE","4","2","7.5YR","7","2","4","2","7.5YR","5","3","6","S","VF","VE","4",8.11878446068,7.93675971602,6.19471486031,4.40326292065333,4.40326292065333,7.75473497136,4.4526700046,0.82035904134,NA,6.48,82.5333333333333,8.654,6.14598540145985,83.2481751824817,8.70656934306569,4.03495239390511
"14",2005.661133,322,4,"LV",1,4,31,0,"2",8,"2","2",5,"2","LS",80,"VF",6,8.1,"3",5,"7.5YR","7.5YR","4",4,"ST",0.863498165967742,"2","7.5YR","8","2","3","2","7.5YR","4","3","6","SL","VF","VE","4","2","7.5YR","8","2","3","2","7.5YR","4","3","6","SL","VF","VE","4",6.60911185652,7.11447519558065,7.11447519558065,7.11447519558065,7.11447519558065,9.220155775,NA,NA,NA,6.51612903225806,75.4838709677419,8.3,6.61538461538461,74.6153846153846,8.33846153846154,7.45308799684615
"15",2012.630615,41,6,"VV",2,3,44,0,"2",7,"3","2",4,"3","LS",80,"VF",6,8,"2",8,"7.5YR","7.5YR","6",6,"SL",0.973397932545454,"2","7.5YR","7","3","6","2","7.5YR","5","3","6","SL","VF","VE","4","2","7.5YR","7","3","6","2","7.5YR","5","3","6","SL","VF","VE","4",6.68572298956,7.73327950138636,7.73327950138636,7.73327950138636,7.73327950138636,9.11164333273684,NA,NA,NA,8.95454545454546,75.2272727272727,8.39090909090909,9.61111111111111,74.1666666666667,8.47777777777778,8.26207747302778
"16",2003.97876,138,4,"CL",1,1,28,0,"2",7,"2","2",4,"3","LS",85,"VF",6,8.1,"3",9,"7.5YR","7.5YR","4",6,"ST",0.909467673107143,"2","7.5YR","6","2","4","2","7.5YR","4","3","6","LS","VF","VE","4","2","7.5YR","6","2","4","2","7.5YR","4","3","6","LS","VF","VE","4",4.80984249532,4.929196207,4.929196207,4.929196207,4.929196207,5.923810471,NA,NA,NA,7.35714285714286,81.6071428571429,8.23571428571429,8,80,8.3,5.923810471
"17",2001,305,5,"VV",2,3,26,0,"2",7,"2","2",5,"3","LS",85,"VF",7,8,"3",5,"7.5YR","7.5YR","4",6,"ST",0.603998249038462,"2","7.5YR","7","3","6","2","7.5YR","4","3","6","LS","VF","VE","4","2","7.5YR","7","3","6","2","7.5YR","4","2","4","SL","VF","VE","4",6.4059932146,6.47825075407692,6.47825075407692,6.47825075407692,6.47825075407692,8.284689241,NA,NA,NA,8.73076923076923,78.6538461538462,8.24230769230769,9.14285714285714,77.1428571428571,8.3,7.27288405385714
