"","DWAClay","DWASand","DWApH","H1.DWA_AWC","H1.ClayPercent","H1.SandPercent","H1.Texture","H1.SandSize","H1.pH","H1.EfferScale","H1.MoistRed","H1.MoistCClass","H1.MoistValue","Tot.MoistRed","Tot.MoistCClass","Tot.MoistValue","MaxEffervescence","Elevation","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","DepthClass","SlopeShape"
"B1_1",6.57446808510638,64.1223404255319,8.03510638297872,0.51781154893617,5,40,"SiL","VF",7.8,3,2,2,4,2,2,4,4,1895.879054,0,1,188,0,"VeryDeep","LV"
"B1_10",7.36363636363636,53.5227272727273,8.05454545454545,0.332667593777778,5,50,"SL","VF",7.8,1,2,2,3,3,2,4,4,1887.039746,0,0,180,0,"VeryDeep","LV"
"B1_2",5,67.9411764705882,8.29411764705882,1.593693315,5,60,"SL","F",7.8,0,2,2,4,2,2,4,3,1874.542794,0,1,44,0,"Shallow","CL"
"B1_3",5.365,73.725,8.183,1.60410961117647,5,60,"SL","F",7.8,2,3,2,4,3,2,5,3,1876.981224,1,1,51,0,"ModeratelyDeep","LV"
"B1_4",8.05882352941176,67.7272727272727,7.79076923076923,0.3849241824,7,55,"SL","F",7.6,2,2,2,4,2,2,4,3,1885.820532,0,1,200,1,"VeryDeep","CL"
"B1_5",5,62.7777777777778,8.27908496732026,0.420485719572192,5,55,"SL","F",6.8,0,2,2,4,2,3,4,4,1882.772495,1,0,187,0,"VeryDeep","CL"
"B1_6",5.64406779661017,70.6779661016949,8.1864406779661,0.341974711437908,5,65,"SL","F",7.8,1,2,2,4,3,2,5,4,1880.029261,1,0,153,0,"VeryDeep","VV"
"B1_7",5,60.4741379310345,8.09827586206896,1.38660322322034,5,60,"SL","F",7,0,2,2,3,2,2,4,4,1891.611802,1,1,59,0,"ModeratelyDeep","CL"
"B1_8",6.36,71.85,8.091,0.291468770637931,7,80,"SL","F",7.8,2,2,2,4,2,2,4,3,1873.32358,0,1,116,0,"Deep","LL"
"B1_9",6.82222222222222,52.6944444444444,8.23333333333333,0.2994008344,5,50,"SL","F",7.6,1,2,2,4,3,2,5,4,1892.221409,0,1,200,1,"VeryDeep","CL"
"B2_1",3.94,68.675,8.213,0.4586798391,5,55,"SL","F",7.6,1,2,2,4,3,2,5,3,1880.943672,0,0,200,1,"VeryDeep","LL"
"B2_10",7.3,52.75,8.07,2.77222994814815,5,50,"SL","VF",6.4,0,2,2,3,2,2,4,4,1880.334065,1,1,27,0,"Shallow","VV"
"B2_2",4.7,65.8,8.265,0.2994008344,5,50,"SL","F",7.8,2,2,2,5,3,2,7,4,1881.55328,0,2,200,1,"VeryDeep","LV"
"B2_4",5.39252336448598,67.4766355140187,8.19439252336449,0.2092885234,5,65,"SL","VF",7.3,0,2,2,4,2,2,4,4,1896.488661,1,1,200,1,"VeryDeep","LV"
"B2_5",5,69.6216216216216,8.32972972972973,0.764575609065421,5,60,"SL","F",7.4,2,2,2,4,3,3,5,4,1876.066813,0,1,107,0,"Deep","LV"
"B2_6",9.055,63.6,8.178,0.425031511135135,5,55,"SL","VF",7.2,0,2,2,4,2,2,5,4,1876.981224,1,1,185,0,"VeryDeep","CC"
"B2_7",6.30188679245283,60,8.21037735849057,0.40904795085,5,60,"SL","F",7.8,2,2,2,4,2,3,5,3,1865.703487,1,1,200,1,"VeryDeep","CL"
"B2_8",12.3653846153846,68.6538461538462,8.22628205128205,0.558766195915094,11,75,"SL","VF",8.1,3,3,2,4,3,2,4,4,1878.810046,0,1,106,0,"Deep","CL"
"B2_9",7,63.7037037037037,7.65555555555556,0.369936020833333,7,60,"SL","F",7.5,0,3,2,4,2,2,4,3,1894.355035,1,1,156,0,"VeryDeep","LV"
"B3_1",7.58024691358025,58.2222222222222,8.17530864197531,0.865709948888889,5,60,"SL","F",7.6,2,3,2,4,3,2,6,4,1866.617898,1,1,81,0,"ModeratelyDeep","CV"
"B3_10",6.80952380952381,70.4761904761905,7.96190476190476,0.686370132,5,45,"SL","F",7.8,2,2,2,4,2,2,5,3,1895.57425,1,2,200,1,"VeryDeep","CV"
"B3_2",4.19402985074627,51.865671641791,8.24477611940299,1.24810840571429,5,55,"SL","F",7.6,2,2,2,3,3,2,4,4,1890.392587,1,0,42,0,"Shallow","VV"
"B3_3",7.92,49.9,8.0075,1.11716729253731,5,50,"SL","F",7.6,2,2,2,4,2,2,5,3,1877.895635,0,0,67,0,"ModeratelyDeep","LL"
