"","id","PedonDepth","DryRed","DryHue","DryValue","DryCClass","DryChroma","MoistRed","MoistHue","MoistValue","MoistCClass","MoistChroma"
"1","B1_1",188,"2","7.5YR","5","2","4","2","7.5YR","4","2","4"
"2","B1_10",44,"2","7.5YR","5","2","4","3","5YR","4","2","4"
"3","B1_2",51,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"4","B1_3",200,"3","5YR","7","2","4","3","5YR","5","2","4"
"5","B1_4",187,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"6","B1_5",153,"2","7.5YR","6","3","6","2","7.5YR","4","3","6"
"7","B1_6",59,"3","5YR","6","2","4","3","5YR","5","2","4"
"8","B1_7",116,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"9","B1_8",200,"2","7.5YR","7","2","4","2","7.5YR","4","2","4"
"10","B1_9",180,"3","5YR","6","2","4","3","5YR","5","2","4"
"11","B2_1",200,"3","5YR","7","2","3","3","5YR","5","2","4"
"12","B2_10",200,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"13","B2_2",200,"3","5YR","8","2","3","3","5YR","7","2","4"
"14","B2_4",107,"3","5YR","6","3","6","2","7.5YR","4","2","4"
"15","B2_5",185,"3","5YR","7","3","6","3","5YR","5","3","6"
"16","B2_6",200,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"17","B2_7",106,"2","7.5YR","7","2","4","2","7.5YR","5","3","6"
"18","B2_8",156,"3","5YR","6","2","4","3","5YR","4","2","4"
"19","B2_9",27,"2","7.5YR","5","2","4","2","7.5YR","4","2","4"
"20","B3_1",81,"3","5YR","7","2","3","3","5YR","6","2","4"
"21","B3_10",42,"2","7.5YR","7","2","3","2","7.5YR","5","2","3"
"22","B3_2",67,"3","5YR","6","2","4","3","5YR","4","2","4"
"23","B3_3",200,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"24","B3_4",148,"3","5YR","7","3","6","3","5YR","5","3","6"
"25","B3_5",178,"2","7.5YR","5","2","4","2","7.5YR","4","2","4"
"26","B3_6",169,"3","5YR","7","3","6","3","5YR","5","3","6"
"27","B3_7",135,"3","5YR","6","3","6","3","5YR","5","3","6"
"28","B3_8",95,"2","7.5YR","5","3","6","2","7.5YR","3","2","4"
"29","B3_9",200,"2","7.5YR","6","2","4","3","5YR","5","2","4"
"30","B4_1",11,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"31","B4_10",56,"3","5YR","7","2","4","2","7.5YR","6","2","4"
"32","B4_2",7,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"33","B4_3",69,"2","7.5YR","6","2","4","2","7.5YR","4","3","6"
"34","B4_4",153,"2","7.5YR","6","2","4","2","7.5YR","5","2","4"
"35","B4_6",47,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"36","B4_7",176,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"37","B4_8",200,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"38","B4_9",7,"2","7.5YR","6","2","4","2","7.5YR","5","2","4"
"39","IL1_1",40,"2","7.5YR","5","3","6","2","7.5YR","4","2","4"
"40","IL1_10",95,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"41","IL1_3",200,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"42","IL1_4",96,"2","7.5YR","8","2","4","2","7.5YR","4","2","4"
"43","IL1_5",121,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"44","IL1_8",148,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"45","IL1_9",8,"2","7.5YR","5","2","4","2","7.5YR","4","2","4"
"46","IL2_1",9,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"47","IL2_10",74,"2","7.5YR","6","2","4","2","7.5YR","5","2","4"
"48","IL2_2",58,"2","7.5YR","6","3","6","2","7.5YR","4","3","6"
"49","IL2_3",200,"3","5YR","7","2","4","3","5YR","5","2","4"
"50","IL2_4",43,"2","7.5YR","5","2","4","2","7.5YR","4","2","4"
"51","IL2_5",200,"3","5YR","6","2","4","3","5YR","4","2","4"
"52","IL2_7",59,"2","7.5YR","5","3","6","2","7.5YR","4","2","4"
"53","IL2_8",46,"3","5YR","6","3","6","3","5YR","4","2","4"
"54","IL2_9",56,"2","7.5YR","6","2","4","3","5YR","4","3","6"
"55","IL3_1",34,"3","5YR","6","2","4","3","5YR","4","2","4"
"56","IL3_10",154,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"57","IL3_2",181,"2","7.5YR","5","3","6","2","7.5YR","4","2","4"
"58","IL3_3",200,"2","7.5YR","7","3","6","2","7.5YR","5","3","6"
"59","IL3_4",146,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"60","IL3_6",74,"2","7.5YR","5","3","6","3","5YR","4","2","4"
"61","IL3_7",27,"3","5YR","5","3","6","2","7.5YR","4","2","4"
"62","IL3_9",106,"2","7.5YR","6","3","6","2","7.5YR","5","3","6"
"63","IL4_10",200,"2","7.5YR","8","3","6","2","7.5YR","5","2","4"
"64","IL4_2",200,"2","7.5YR","8","2","4","2","7.5YR","6","2","4"
"65","IL4_3",25,"3","5YR","6","2","4","3","5YR","4","2","4"
"66","IL4_4",15,"3","5YR","6","3","6","3","5YR","5","2","4"
"67","IL4_5",23,"2","7.5YR","5","3","6","2","7.5YR","4","2","4"
"68","IL4_7",200,"3","5YR","6","2","4","3","5YR","4","2","4"
"69","IL4_8",10,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"70","IL4_9",32,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"71","M1_1",182,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"72","M1_10",200,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"73","M1_2",187,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"74","M1_4",171,"2","7.5YR","7","2","4","2","7.5YR","5","3","6"
"75","M1_5",131,"3","5YR","6","2","4","3","5YR","4","2","4"
"76","M1_6",181,"2","7.5YR","8","2","4","2","7.5YR","6","2","4"
"77","M1_7",200,"2","7.5YR","5","2","4","2","7.5YR","4","2","3"
"78","M1_8",171,"2","7.5YR","7","2","4","2","7.5YR","4","2","4"
"79","M2_1",112,"2","7.5YR","6","3","6","2","7.5YR","5","3","6"
"80","M2_10",200,"2","7.5YR","7","2","4","2","7.5YR","7","2","4"
"81","M2_3",63,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"82","M2_5",176,"2","7.5YR","7","2","3","2","7.5YR","4","2","4"
"83","M2_6",186,"3","5YR","7","2","4","3","5YR","4","2","4"
"84","M2_7",200,"2","7.5YR","7","2","4","2","7.5YR","7","2","4"
"85","M2_8",200,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"86","M2_9",180,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"87","M3_1",186,"3","5YR","7","2","4","3","5YR","5","2","4"
"88","M3_2",91,"3","5YR","6","2","4","3","5YR","4","2","4"
"89","M3_3",170,"2","7.5YR","7","3","6","2","7.5YR","5","2","4"
"90","M3_5",183,"2","7.5YR","7","2","4","2","7.5YR","5","2","4"
"91","M3_7",189,"2","7.5YR","6","2","4","2","7.5YR","6","2","4"
"92","M3_8",186,"3","5YR","8","2","4","3","5YR","5","2","4"
"93","M4_2",200,"2","7.5YR","6","2","4","2","7.5YR","5","2","4"
"94","M4_3",188,"3","5YR","8","3","6","3","5YR","5","3","6"
"95","M4_4",176,"3","5YR","8","2","4","3","5YR","5","2","4"
"96","M4_5",190,"3","5YR","6","2","4","3","5YR","6","3","6"
"97","M4_6",159,"3","5YR","5","3","6","3","5YR","4","3","6"
"98","M4_7",73,"3","5YR","8","1","2","3","5YR","6","2","4"
"99","M4_9",67,"2","7.5YR","5","2","4","2","7.5YR","4","2","4"
"100","1",30,"2","7.5YR","6","2","3","2","7.5YR","4","2","3"
"101","2",157,"2","7.5YR","6","2","4","2","7.5YR","4","3","6"
"102","3",168,"3","5YR","6","3","6","3","5YR","5","3","6"
"103","4",48,"3","5YR","6","3","6","3","5YR","4","3","6"
"104","5",91,"2","7.5YR","8","2","3","2","7.5YR","5","3","6"
"105","6",161,"2","7.5YR","7","2","4","2","7.5YR","4","3","6"
"106","7",27,"2","7.5YR","7","2","4","2","7.5YR","4","3","6"
"107","8",150,"2","7.5YR","7","2","4","2","7.5YR","5","3","6"
"108","9",45,"2","7.5YR","6","2","4","2","7.5YR","5","3","6"
"109","10",53,"3","5YR","7","3","6","3","5YR","4","2","4"
"110","11",150,"3","5YR","5","3","6","3","5YR","4","2","4"
"111","12",65,"3","5YR","4","2","4","3","5YR","3","2","4"
"112","13",150,"2","7.5YR","7","2","4","2","7.5YR","5","3","6"
"113","14",31,"2","7.5YR","8","2","3","2","7.5YR","4","3","6"
"114","15",44,"2","7.5YR","7","3","6","2","7.5YR","5","3","6"
"115","16",28,"2","7.5YR","6","2","4","2","7.5YR","4","3","6"
"116","17",26,"2","7.5YR","7","3","6","2","7.5YR","4","3","6"
"117","18",5,"3","5YR","6","2","4","3","5YR","4","2","4"
"118","19",153,"3","5YR","6","2","4","3","5YR","4","2","4"
"119","20",46,"4","2.5YR","5","2","4","4","2.5YR","4","2","4"
"120","21",95,"3","5YR","5","3","6","3","5YR","4","2","4"
"121","22",154,"2","7.5YR","7","2","4","3","5YR","4","2","4"
"122","23",81,"3","5YR","5","2","4","3","5YR","4","2","4"
"123","24",48,"3","5YR","5","2","4","3","5YR","3","2","4"
"124","25",149,"3","5YR","7","3","6","3","5YR","4","3","6"
"125","26",31,"2","7.5YR","5","3","6","2","7.5YR","4","3","6"
"126","27",153,"2","7.5YR","6","2","4","2","7.5YR","4","3","6"
"127","28",83,"3","5YR","7","2","3","3","5YR","5","2","4"
"128","29",163,"1","10YR","7","2","3","1","10YR","4","3","6"
"129","30",134,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"130","31",20,"3","5YR","5","3","6","3","5YR","4","3","6"
"131","32",114,"2","7.5YR","7","2","4","2","7.5YR","5","3","6"
"132","33",86,"2","7.5YR","7","2","4","2","7.5YR","5","3","6"
"133","34",19,"2","7.5YR","7","2","4","2","7.5YR","4","2","4"
"134","35",77,"3","5YR","5","3","6","3","5YR","4","3","6"
"135","36",152,"3","5YR","7","2","4","3","5YR","4","2","4"
"136","37",17,"2","7.5YR","8","1","2","2","7.5YR","5","2","4"
"137","38",94,"3","5YR","6","3","6","3","5YR","4","3","6"
"138","39",19,"3","5YR","5","3","6","3","5YR","4","3","6"
"139","40",122,"2","7.5YR","7","2","4","3","5YR","4","2","4"
"140","41",151,"2","7.5YR","7","2","4","2","7.5YR","4","3","6"
"141","42",58,"3","5YR","7","2","4","3","5YR","3","2","4"
"142","43",154,"3","5YR","6","3","6","3","5YR","5","2","4"
"143","44",126,"3","5YR","6","3","6","3","5YR","4","3","6"
"144","45",104,"2","7.5YR","6","2","4","2","7.5YR","4","3","6"
"145","46",99,"2","7.5YR","8","2","4","2","7.5YR","4","2","4"
"146","47",150,"1","10YR","6","3","6","1","10YR","4","3","6"
"147","48",80,"3","5YR","7","2","4","3","5YR","4","3","6"
"148","49",150,"3","5YR","7","2","4","3","5YR","5","3","6"
"149","50",26,"3","5YR","5","3","6","3","5YR","4","3","6"
"150","57",87,"3","5YR","7","3","6","3","5YR","5","3","6"
"151","59",149,"3","5YR","7","2","4","3","5YR","4","2","4"
"152","60",149,"2","7.5YR","6","2","4","2","7.5YR","4","2","4"
"153","61",149,"2","7.5YR","7","2","4","2","7.5YR","4","2","4"
"154","67",122,"3","5YR","7","2","4","3","5YR","4","2","6"
"155","68",139,"3","5YR","7","2","4","2","7.5YR","4","2","4"
"156","73",96,"3","5YR","6","3","6","3","5YR","5","2","4"
"157","77",58,"3","5YR","5","2","4","3","5YR","3","2","3"
"158","80",152,"3","5YR","6","2","4","3","5YR","4","2","4"
"159","82",64,"2","7.5YR","7","2","4","3","5YR","4","3","6"
"160","85",123,"3","5YR","7","2","4","3","5YR","4","2","4"
"161","90",25,"2","7.5YR","6","3","6","2","7.5YR","4","3","6"
"162","97",145,"3","5YR","7","2","4","3","5YR","4","3","6"
"163","98",152,"3","5YR","7","2","4","3","5YR","6","3","6"
"164","100",155,"3","5YR","6","3","6","3","5YR","4","2","4"
