"","2","3","4","6"
"B1_1",0,0,188,0
"B1_10",0,4,40,0
"B1_2",0,0,51,0
"B1_3",0,0,200,0
"B1_4",0,0,130,57
"B1_5",0,0,35,118
"B1_6",0,0,59,0
"B1_7",0,7,109,0
"B1_8",0,6,194,0
"B1_9",0,0,154,26
"B2_1",0,0,200,0
"B2_10",0,0,200,0
"B2_2",0,0,122,78
"B2_4",0,46,61,0
"B2_5",0,0,7,178
"B2_6",0,0,175,25
"B2_7",0,0,7,99
"B2_8",0,7,106,43
"B2_9",0,0,27,0
"B3_1",0,0,45,36
"B3_10",0,22,20,0
"B3_2",0,0,67,0
"B3_3",0,0,165,35
"B3_4",0,0,28,120
"B3_5",0,0,143,35
"B3_6",0,5,13,151
"B3_7",0,6,36,93
"B3_8",0,0,67,28
"B3_9",0,7,193,0
"B4_1",0,0,11,0
"B4_10",0,0,56,0
"B4_2",0,0,7,0
"B4_3",0,0,12,57
"B4_4",0,0,142,11
"B4_6",0,0,47,0
"B4_7",0,5,98,73
"B4_8",0,0,200,0
"B4_9",0,0,7,0
"IL1_1",0,0,24,16
"IL1_10",0,5,90,0
"IL1_3",0,0,200,0
"IL1_4",0,0,96,0
"IL1_5",0,0,87,34
"IL1_8",0,0,135,13
"IL1_9",0,0,8,0
"IL2_1",0,0,9,0
"IL2_10",0,0,74,0
"IL2_2",0,0,18,40
"IL2_3",0,0,190,10
"IL2_4",0,8,35,0
"IL2_5",0,0,119,81
"IL2_7",0,0,59,0
"IL2_8",0,6,40,0
"IL2_9",0,0,8,48
"IL3_1",0,0,34,0
"IL3_10",0,7,115,32
"IL3_2",0,0,181,0
"IL3_3",0,0,90,110
"IL3_4",0,0,74,72
"IL3_6",0,7,67,0
"IL3_7",0,0,27,0
"IL3_9",0,0,18,88
"IL4_10",0,0,105,95
"IL4_2",0,0,200,0
"IL4_3",0,0,25,0
"IL4_4",0,0,15,0
"IL4_5",0,0,23,0
"IL4_7",0,55,145,0
"IL4_8",0,0,10,0
"IL4_9",0,0,32,0
"M1_1",0,8,174,0
"M1_10",0,6,194,0
"M1_2",0,4,183,0
"M1_4",4,0,72,95
"M1_5",0,0,66,65
"M1_6",0,0,181,0
"M1_7",8,97,95,0
"M1_8",0,7,164,0
"M2_1",0,0,38,74
"M2_10",0,0,200,0
"M2_3",0,13,46,4
"M2_5",0,0,176,0
"M2_6",0,20,166,0
"M2_7",0,0,200,0
"M2_8",6,0,194,0
"M2_9",0,5,175,0
"M3_1",0,8,110,68
"M3_2",0,0,91,0
"M3_3",0,0,170,0
"M3_5",0,0,161,22
"M3_7",0,0,189,0
"M3_8",0,6,107,73
"M4_2",0,0,200,0
"M4_3",0,0,82,106
"M4_4",0,0,130,46
"M4_5",0,4,39,147
"M4_6",0,5,49,105
"M4_7",0,0,50,23
"M4_9",0,0,64,3
"1",0,30,0,0
"2",0,0,5,152
"3",0,0,9,159
"4",0,0,0,48
"5",0,0,0,91
"6",0,51,45,65
"7",0,0,0,27
"8",0,0,0,147
"9",0,0,0,45
"10",0,0,53,0
"11",0,0,101,49
"12",0,0,65,0
"13",0,0,45,105
"14",0,0,5,26
"15",0,0,13,31
"16",0,0,0,28
"17",0,0,12,14
"18",0,0,5,0
"19",0,53,70,30
"20",0,3,38,0
"21",0,0,95,0
"22",0,0,91,63
"23",0,3,69,9
"24",0,5,43,0
"25",0,6,29,114
"26",0,0,14,17
"27",0,0,0,153
"28",0,0,52,31
"29",0,7,0,156
"30",0,0,89,45
"31",0,0,0,20
"32",0,0,7,107
"33",0,0,0,86
"34",0,0,19,0
"35",0,0,0,77
"36",0,0,112,40
"37",0,0,17,0
"38",0,7,9,78
"39",0,0,0,19
"40",0,23,99,0
"41",0,0,0,151
"42",0,6,52,0
"43",0,5,101,48
"44",0,0,0,126
"45",0,0,14,90
"46",0,5,62,32
"47",0,0,6,144
"48",0,0,30,50
"49",0,0,8,142
"50",0,0,9,17
"57",0,0,17,70
"59",3,0,146,0
"60",0,0,149,0
"61",0,0,149,0
"67",0,21,50,51
"68",5,62,72,0
"73",0,5,56,35
"77",9,49,0,0
"80",0,6,100,46
"82",0,0,5,59
"85",0,6,117,0
"90",0,0,0,25
"97",0,0,55,90
"98",0,0,39,113
"100",0,5,103,47
