PedonID,Latitude,Longitude,Northing,Easting,altitude,CarbonateStage,ExcavationDepth,IRLDepth,IRL150,IRL100,IRL50,MaxClay,MaxRF,MaxAWC,TotalAWC,AWC25,AWC50,AWC100,ARTR2_L_Total,ARTR2_D_Total,ARTR2_ALL_Total,ARTR2_L_Mature,ARTR2_D_Mature,ARTER_ALL_Mature,ARTR2_L_GT050,ARTR2_D_GT050,ARTR2_ALL_GT050,ATCA2_L_Total,ATCA2_D_Total,ATCA2_ALL_Total,EPVI_L_Total,EPVI_D_Total,EPVI_ALL_Total,KRLA2_L_Total,KRLA2_D_total,KRLA2_ALL_total,JUOS_PIED_Total,LPI_ARTR_D_DP,LPI_ARTR_Alive,LPI_ARTR_all,Bare_Soil,PerGrass,Total_Foliar,Total_Litter
CLHS01P,38.02654758,-109.9060049,4209325.263,596016.632,2003.498047,0,30,30,Y,Y,Y,3,10,0.124,0.216,0.10736,0.1048,0.1048,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0.0833,0,0.2167,0.1943
CLHS02P,38.02114595,-109.9067268,4208725.166,595960.3138,1992.443115,1,157,150,N,N,N,10,2,8.285,16.182,5.9402,5.6471,5.16323,5,22,27,5,22,27,0,4,4,3,0,3,0,0,0,15,2,17,1,0.0113,0,0.0113,0.1833,0.1943,0.4887,0.5723
CLHS03P,38.01719723,-109.9108276,4208282.804,595605.4958,1972.015381,2,168,150,N,N,N,10,1,6.523,17.004,3.80748,3.26334,2.99755,0,6,6,0,6,6,0,1,1,5,0,5,3,0,3,0,0,0,1,0,0,0,0.1613,0.022,0.3,0.361
CLHS04P,38.01628696,-109.9341039,4208158.134,593563.446,1886.939209,1,48,48,Y,Y,Y,8,15,3.477,9.783,3.19188,3.3285,3.3285,1,5,6,1,5,6,0,1,1,2,3,5,0,0,0,0,0,0,5,0,0,0,0.0443,0.0113,0.2613,0.4667
CLHS05P,38.01061492,-109.938822,4207524.047,593156.4639,1900.397461,1,91,91,Y,Y,N,10,25,6.523,13.477,5.06092,4.26896,3.912142857,1,25,26,1,25,26,0,1,1,0,0,0,9,0,9,0,0,0,10,0.0057,0,0.0057,0.1443,0.033,0.4003,0.5277
CLHS06P,38.00726133,-109.9036272,4207187.768,596250.5443,1956.634277,2,161,150,N,N,N,21,25,12.39,44.723,3.55408,4.31178,5.67889,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,54,0,54,0,0,0,0,0.4387,0.1443,0.2113,0.5
CLHS07P,38.00737037,-109.9345031,4207168.375,593539.7326,1936.446533,0,27,27,Y,Y,Y,8,37.5,3.477,6.954,3.477,3.477,3.477,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0.261,0,0.2113,0.3
CLHS08P,38.00676629,-109.9115273,4207124.697,595557.6159,1948.463135,2,150,150,N,N,N,7,5,5.635,13.573,2.829,2.536978723,2.404515464,0,14,14,0,14,14,0,1,1,0,5,5,0,0,0,3,0,3,0,0.011,0,0.011,0.1333,0.4443,0.4667,0.639
CLHS09P,38.00625558,-109.9444512,4207034.725,592667.7735,1944.137207,1,45,45,Y,Y,Y,15,50,9.886,21.922,6.991,8.251466667,8.251466667,0,23,23,0,23,23,0,0,0,5,1,6,1,0,1,1,0,1,4,0,0,0,0.2947,0.139,0.2,0.2
CLHS10P,38.00544446,-109.9066418,4206983.06,595988.2581,1953.990723,1,53,53,Y,Y,N,10,10,8.285,12.328,6.21788,4.26604,4.109471698,0,28,28,0,28,28,0,1,1,0,0,0,0,0,0,0,1,1,5,0.0057,0,0.0057,0.15,0.0557,0.378,0.539
CLHS11P,38.00419095,-109.9119414,4206838.52,595524.6054,1947.742188,1,150,150,N,N,N,8,5,7.939,17.074,3.01044,2.91972,4.30516,1,16,17,1,16,17,0,1,1,11,4,15,0,0,0,7,0,7,0,0,0,0,0.1333,0.4833,0.5497,0.639
CLHS12P,38.00268103,-109.9162667,4206666.552,595146.8107,1966.968262,0,65,65,Y,Y,N,10,75,8.285,19.113,6.21788,7.25144,7.489953846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.2057,0,0.339,0.411
CLHS14P,37.99883667,-109.9085617,4206247.9,595828.2959,2005.661133,1,31,31,Y,Y,Y,8,15,9.22,18.051,6.60904,7.114387097,7.114387097,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0.089,0,0.2943,0.439
CLHS15P,37.99721193,-109.9044139,4206071.903,596194.6048,2012.630615,2,44,44,Y,Y,Y,10,15,9.493,29.056,6.686,7.733386364,7.733386364,0,1,1,0,1,1,0,0,0,0,0,0,3,1,4,0,0,0,5,0,0,0,0.1113,0,0.239,0.3943
CLHS16P,37.99674606,-109.8689962,4206057.416,599305.0766,2003.97876,1,28,28,Y,Y,Y,8,5,5.924,8.753,4.8098,4.929178571,4.929178571,5,12,17,5,12,17,0,0,0,10,0,10,0,0,0,26,0,26,1,0,0,0,0.161,0.4057,0.5443,0.489
CLHS17P,37.99665327,-109.8996324,4206014.87,596615.1789,2001,2,26,26,Y,Y,Y,10,10,8.285,17.35,6.40624,6.4785,6.4785,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0.1723,0,0.2833,0.4057
CLHS18P,37.98496127,-109.8810865,4204736.977,598259.203,1981.868652,0,5,5,Y,Y,Y,6,1,2.829,2.829,2.829,2.829,2.829,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0.0057,0.289,0.4613
CLHS20P,37.98291558,-109.8716177,4204519.394,599094.4633,1987,1,46,41,Y,Y,Y,18,40,15.041,53.785,13.09648,13.45614634,13.45614634,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,10,0,10,0,0,0,0,0.2947,0.2837,0.4723,0.4553
CLHS21P,37.98243471,-109.8812624,4204456.452,598247.1291,1966.247314,1,95,NA,N,NA,NA,10,15,6.523,13.729,5.3046,4.0034,3.125936842,0,34,34,0,34,34,0,0,0,1,0,1,0,0,0,27,1,28,0,0.0113,0,0.0113,0.111,0.3943,0.4443,0.6057
CLHS23P,37.98183382,-109.8711196,4204399.896,599139.6656,1980,1,81,81,Y,Y,N,15,20,11.355,44.409,8.19288,9.77394,10.15792593,0,5,5,0,5,5,0,0,0,9,0,9,0,0,0,96,0,96,0,0,0,0,0.261,0.3007,0.389,0.3387
CLHS25P,37.98145655,-109.8623667,4204367.393,599908.8838,2013,1,150,150,N,N,N,10,3,8.563,28.923,7.90204,8.10772,7.86412,0,21,21,0,21,21,0,4,4,4,0,4,4,0,4,4,0,4,0,0.0057,0,0.0057,0.0777,0.5277,0.6333,0.7
