id,bottom,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum
CLHS01P,0,12,A,7.5YR,6,3,7.5YR,5,3,S,95,M,3,8.2,SL,0.054755763,0.053520169,0.123559336,1
CLHS01P,12,30,AB,7.5YR,6,3,7.5YR,4,3,S,95,F,2,8.3,VE,0.051906155,0.050990095,0.091606059,2
CLHS01P,30,30,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
CLHS02P,0,5,A,7.5YR,7,4,7.5YR,3,4,SL,75,VF,10,7.6,VS,0.142929541,0.060082649,8.284689241,1
CLHS02P,5,88,Bk1,7.5YR,6,4,7.5YR,4,6,FLS,80,F,6,8.2,VE,0.098915741,0.045378855,5.353688629,2
CLHS02P,88,157,Bk2,7.5YR,7,3,7.5YR,5,6,FLS,85,VF,5,8.4,VE,0.070626535,0.045199005,2.542753,3
CLHS03P,0,9,A,5YR,6,6,5YR,5,4,VFSL,80,VFS,10,8.1,ST,0.120922531,0.055689319,6.523321172,1
CLHS03P,9,30,Bw,5YR,6,6,5YR,5,6,FLS,85,F,4,8.3,VE,0.065823054,0.043023621,2.27994333,2
CLHS03P,30,83,Bk1,5YR,6,6,5YR,5,6,FLS,85,F,6,8.3,VE,0.075697345,0.047402795,2.829454983,3
CLHS03P,83,110,Bk2,5YR,6,6,5YR,5,6,FLS,85,F,5,8.2,VE,0.070626535,0.045199005,2.542753,4
CLHS03P,110,168,Bk3,5YR,7,6,5YR,5,6,FLS,85,F,6,8.3,VE,0.075697345,0.047402795,2.829454983,5
CLHS04P,0,11,A,5YR,6,6,5YR,4,6,LS,85,VF,6,8.3,VE,0.075697345,0.047402795,2.829454983,1
CLHS04P,11,29,Bk1,5YR,6,6,5YR,4,6,LS,85,VF,8,8.4,VE,0.086693704,0.051921849,3.477185496,2
CLHS04P,29,48,Bk2,5YR,6,6,5YR,4,6,LS,85,F,8,8.4,VE,0.086693704,0.051921849,3.477185496,3
CLHS04P,48,48,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS05P,0,10,A,7.5YR,8,4,7.5YR,5,6,LS,85,VF,8,8.5,VE,0.086693704,0.051921849,3.477185496,1
CLHS05P,10,23,Bk,7.5YR,8,4,7.5YR,5,6,SL,80,F,10,8.4,VE,0.120922531,0.055689319,6.523321172,2
CLHS05P,23,91,C,7.5YR,8,3,7.5YR,5,6,LS,85,F,8,8.8,VE,0.086693704,0.051921849,3.477185496,3
CLHS05P,91,91,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS06P,0,5,A,7.5YR,7,4,7.5YR,4,3,FLS,80,F,8,8,ST,0.109640891,0.050402787,5.923810471,1
CLHS06P,5,19,Bk1,7.5YR,7,4,7.5YR,4,4,FLS,85,F,7,8.2,VE,0.081049151,0.049641242,3.140790895,2
CLHS06P,19,39,Bk2,7.5YR,8,4,7.5YR,4,6,FLS,85,F,5,8.2,VE,0.070626535,0.045199005,2.542753,3
CLHS06P,39,70,Bk3,7.5YR,7,4,7.5YR,5,4,SL,75,M,10,8.2,VE,0.142929541,0.060082649,8.284689241,4
CLHS06P,70,80,Bk4,7.5YR,8,4,7.5YR,4,6,LS,80,M,9,8.2,VE,0.115212831,0.053010335,6.220249533,5
CLHS06P,80,115,Bk5,7.5YR,7,6,7.5YR,5,6,LS,80,VF,9,8,VE,0.115212831,0.053010335,6.220249533,6
CLHS06P,115,161,Bk6,7.5YR,6,4,7.5YR,4,3,L,50,VF,21,NA,NA,0.22224015,0.098341491,12.3898659,7
CLHS07P,0,8,A,7.5YR,7,4,7.5YR,5,6,LS,85,F,8,8.2,VE,0.086693704,0.051921849,3.477185496,1
CLHS07P,8,27,C,7.5YR,7,4,7.5YR,4,6,LS,85,F,8,8.2,VE,0.086693704,0.051921849,3.477185496,2
CLHS07P,27,27,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
CLHS08P,0,6,A,7.5YR,7,4,7.5YR,4,6,LS,85,VF,6,8.1,VE,0.075697345,0.047402795,2.829454983,1
CLHS08P,9,25,Bk1,7.5YR,7,6,7.5YR,5,6,LS,85,VF,6,8.3,VE,0.075697345,0.047402795,2.829454983,2
CLHS08P,25,110,Bk2,7.5YR,7,4,7.5YR,5,6,LS,85,VF,4,8.4,VE,0.065823054,0.043023621,2.27994333,3
CLHS08P,110,150,Bk3,7.5YR,7,6,7.5YR,5,6,LS,80,VF,7,8.6,VE,0.104209268,0.047858639,5.635062899,4
CLHS09P,0,9,A,7.5YR,6,4,7.5YR,4,6,LS,85,VF,5,8.1,SL,0.070626535,0.045199005,2.542753,1
CLHS09P,9,28,Bk,7.5YR,6,6,7.5YR,5,6,SL,70,F,10,8.5,VE,0.160883369,0.065950224,9.493314452,2
CLHS09P,28,45,C,10YR,7,4,10YR,5,6,SL,70,F,15,8.6,VE,0.178985018,0.080127757,9.885726076,3
CLHS09P,45,45,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS10P,0,9,A,5YR,6,6,5YR,4,4,LS,85,VF,5,8.1,VE,0.070626535,0.045199005,2.542753,1
CLHS10P,9,28,Bk,5YR,5,6,5YR,4,4,SL,75,F,10,8.1,VE,0.142929541,0.060082649,8.284689241,2
CLHS10P,28,53,C,5YR,7,4,5YR,5,4,LS,87,F,4,8.6,VE,0.060283316,0.045286641,1.49966747,3
CLHS10P,53,53,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS11P,0,7,A,5YR,6,6,5YR,4,6,LS,85,VF,8,8.1,VE,0.086693704,0.051921849,3.477185496,1
CLHS11P,7,30,Bk1,5YR,5,6,5YR,4,4,LS,85,VF,6,8.3,VE,0.075697345,0.047402795,2.829454983,2
CLHS11P,30,72,Bk2,5YR,6,6,5YR,4,6,LS,85,VF,6,8.3,VE,0.075697345,0.047402795,2.829454983,3
CLHS11P,72,150,Bk3,5YR,5,6,5YR,4,4,SL,75,VF,8,8.6,VE,0.133943934,0.054553391,7.939054282,4
