Site,Plot,Indicator,1st Hit Avg,1st Hit StDev,Any Hit Avg,Any Hit StDev
BEEF BASIN 2013,1,ACHY,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ACHY/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,AF01,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,AMSIN,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ARNO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ARPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ARTR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ARTR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ARTR2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ATCA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ATCA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,ATCA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,BAMU,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,BOGR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,BOGR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,BOGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,BOGR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,BRTE,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,CEIN7,0.017,0.017,0.017,0.017
BEEF BASIN 2013,1,CEIN7/D,0.006,0.010,0.006,0.010
BEEF BASIN 2013,1,CEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,CHVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,CHVI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,CHVI/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,CHVI8,0.017,0.017,0.017,0.017
BEEF BASIN 2013,1,CHVI8/D,0.011,0.019,0.011,0.019
BEEF BASIN 2013,1,CHVI8/DP,0.000,0.000,0.000,0.000
