"","ACHY","ACHY/D","AF01","AMSIN","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","BOGR","BOGR/D","BOGR2","BOGR2/D","BRTE","CEIN7","CEIN7/D","CEMO2","CHVI","CHVI/D","CHVI/DP","CHVI8","CHVI8/D","CHVI8/DP","CRAN4","CRFL5","ECCO5/D","ECCOC","ECCOC/D","ELEL","ELEL5","EPVI","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA","GUSA/D","GUSA/DP","GUSA2","GUSA2/D","HECO26","HECO26/D","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/DP","LEMO2","MAFR3","MAFR3/DP","MAGR2","OPPO","OPPO/D","OPPO/DP","PEPU7","PEPU9","PHAU3","PHAU3/D","PHAUA3","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALS0","SHRO","SHRO/DP","SPCO4","SPCR","SPCR/D","STUPID","SYOR","SYOR2","SYOR2/D","UNKCLOVER","UNKF2A","UNKSPR","YUBA","YUBA/D","YUBA/DP"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779816513761468,0.0275229357798165,0,0,0,0,0.0779816513761468,0.0504587155963303,0,0,0,0,0,0,0,0,0,0,0,0.0504587155963303,0,0.0275229357798165,0,0,0,0,0,0,0,0,0,0.151376146788991,0.0275229357798165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481651376146789,0,0,0,0.0275229357798165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0769230769230769,0,0,0,0,0,0,0,0,0.0118343195266272,0.0216962524654832,0,0,0,0,0,0,0,0.0986193293885602,0,0,0,0,0,0,0,0,0.0216962524654832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187376725838264,0,0,0,0.240631163708087,0,0,0,0,0.0216962524654832,0,0,0,0,0,0,0,0,0,0,0,0.175542406311637,0.0216962524654832,0.0118343195266272,0,0,0,0,0,0.0216962524654832,0.0769230769230769,0.0118343195266272,0,0,0,0,0,0,0,0,0,0
"10",0.0147058823529412,0,0,0,0,0,0,0,0,0,0.0269607843137255,0,0,0,0,0,0,0,0.0269607843137255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269607843137255,0,0,0.0147058823529412,0,0.0955882352941177,0.0147058823529412,0,0,0.259803921568627,0.0686274509803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436274509803922,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0.0593368237347295,0,0.0575916230366492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488656195462478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804537521815009,0.0296684118673647,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298913043478261,0,0,0,0,0,0,0,0,0.016304347826087,0.4375,0,0,0,0,0.016304347826087,0,0,0.016304347826087,0,0,0,0,0,0,0,0,0.421195652173913,0,0,0,0,0,0,0,0,0,0,0,0,0.016304347826087,0.0298913043478261,0,0,0,0,0,0
"14",0.018348623853211,0,0,0,0,0,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018348623853211,0,0,0,0,0,0.0336391437308868,0,0,0,0,0,0,0,0,0,0,0,0.018348623853211,0,0,0,0,0,0,0.0336391437308868,0.018348623853211,0,0,0,0,0.27217125382263,0.018348623853211,0,0,0,0.018348623853211,0,0,0,0,0,0,0.0519877675840979,0,0.018348623853211,0,0,0.443425076452599,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447154471544715,0,0,0,0,0,0.40650406504065,0.024390243902439,0,0,0,0.0447154471544715,0,0,0,0,0,0,0.0691056910569106,0,0.024390243902439,0.024390243902439,0,0.33739837398374,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0.0104529616724739,0,0,0,0,0,0,0,0,0,0,0,0.0191637630662021,0.0104529616724739,0,0,0,0,0.193379790940767,0.0104529616724739,0,0,0,0,0,0,0,0,0,0,0,0.0104529616724739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383275261324042,0,0.493031358885017,0,0,0,0.0191637630662021,0,0,0,0,0,0,0,0,0.0104529616724739,0,0,0,0,0,0,0,0.125435540069686,0,0,0,0,0,0,0,0.029616724738676,0,0,0,0,0,0,0,0,0,0.029616724738676,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199335548172757,0,0,0,0,0,0,0.0199335548172757,0,0,0,0,0,0.441860465116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461794019933555,0.0564784053156146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378006872852234,0.0206185567010309,0.0206185567010309,0,0,0,0.134020618556701,0,0,0,0,0,0,0,0,0,0,0,0.0756013745704467,0,0.0206185567010309,0,0,0.649484536082474,0,0,0,0.0206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0.0113421550094518,0,0,0,0,0,0,0,0,0.136105860113422,0.0321361058601134,0.0945179584120983,0.0207939508506616,0,0,0,0.378071833648393,0.052930056710775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207939508506616,0,0,0,0,0,0,0,0,0,0,0.219281663516068,0.0113421550094518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113421550094518,0,0,0,0,0,0,0,0.0113421550094518,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190839694656489,0.0114503816793893,0,0,0,0,0,0,0,0.0419847328244275,0.0114503816793893,0,0,0,0,0,0,0,0.0209923664122137,0,0,0,0,0,0,0,0,0,0,0,0.402671755725191,0,0,0,0,0,0,0.0114503816793893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297709923664122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114503816793893,0,0
"21",0.0351239669421488,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0.0227272727272727,0,0.0227272727272727,0,0,0,0.241735537190083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642561983471074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012396694214876,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0.0266990291262136,0,0,0,0,0,0,0,0,0,0.0800970873786408,0,0,0,0,0,0.497572815533981,0.0412621359223301,0.0412621359223301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145631067961165,0.0412621359223301,0.148058252427184,0,0,0,0,0,0,0.0266990291262136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412621359223301,0.0412621359223301,0,0,0,0,0,0,0,0,0,0,0
