type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	7	37.95631126	-109.9259714	4201511.645	594354.1124	17-JUL-13 3:21:27PM		City (Small)				1880.690674																	garmin GPSMap60CSX Software Version 4.20		7/17/2013 9:21			17-JUL-13 3:21:27PM								
WAYPOINT	007 02	37.95040285	-109.9455649	4200836.406	592640.1874	007 02		Flag	 Blue				1885.737549																	garmin GPSMap60CSX Software Version 4.20		0007/01/31 17:00:00			007 02							
WAYPOINT	007 03	37.95142779	-109.9454789	4200950.215	592646.456	007 03		Flag	 Blue				1878.047119																	garmin GPSMap60CSX Software Version 4.20		0007/02/28 17:00:00			007 03							
WAYPOINT	007 OR 051 01	37.94900383	-109.9150449	4200711.967	595323.49	007 OR 051 01		Flag	 Blue				1883.093994																	garmin GPSMap60CSX Software Version 4.20					007 OR 051 01							
WAYPOINT	9	37.95026983	-109.9454479	4200821.763	592650.6352	9		Flag	 Blue				1880.690674																	garmin GPSMap60CSX Software Version 4.20					9							
WAYPOINT	10	37.95040285	-109.9455649	4200836.406	592640.1874	10		Flag	 Blue				1885.497314																	garmin GPSMap60CSX Software Version 4.20					10							
WAYPOINT	11	37.95143182	-109.9454629	4200950.677	592647.8574	11		Flag	 Blue				1877.566406																	garmin GPSMap60CSX Software Version 4.20					11							
WAYPOINT	12	37.97602784	-109.9377409	4203687.464	593295.1745	12		Flag	 Blue				1877.566406																	garmin GPSMap60CSX Software Version 4.20					12							
WAYPOINT	13	37.97523583	-109.9237679	4203613.68	594523.4313	13		Flag	 Blue				1879.729492																	garmin GPSMap60CSX Software Version 4.20					13							
WAYPOINT	041 01	37.95143182	-109.9454639	4200950.676	592647.7691	041 01		Flag	 Blue				1877.566406																	garmin GPSMap60CSX Software Version 4.20		0040/12/31 17:00:00			041 01							
WAYPOINT	041 02	37.95904283	-109.9496838	4201790.974	592267.4864	041 02		Flag	 Blue				1870.59668																	garmin GPSMap60CSX Software Version 4.20		0041/01/31 17:00:00			041 02							
WAYPOINT	051 01	37.95000387	-109.9294479	4200808.288	594056.7359	051 01		Flag	 Blue				1880.450439																	garmin GPSMap60CSX Software Version 4.20		0050/12/31 17:00:00			051 01							
WAYPOINT	1	38.02125273	-109.9067414	4208737	595958.8943	1		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					1							
WAYPOINT	10	38.00950633	-109.9034986	4207437.001	596258.8967	10		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					10							
WAYPOINT	103 01	37.9467118	-109.9142689	4200458.447	595394.6345	103 01		Flag	 Blue				1894.38916																	garmin GPSMap60CSX Software Version 4.20		0102/12/31 17:00:00			103 01							
WAYPOINT	103 02	37.94787982	-109.9144819	4200587.827	595374.4107	103 02		Flag	 Blue				1888.861816																	garmin GPSMap60CSX Software Version 4.20		0103/01/31 17:00:00			103 02							
WAYPOINT	11	38.00734364	-109.9035308	4207197.001	596258.8992	11		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					11							
WAYPOINT	12	38.00735814	-109.9345128	4207167.007	593538.8945	12		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					12							
WAYPOINT	13	38.00678691	-109.9115124	4207127	595558.899	13		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					13							
WAYPOINT	14	38.00588485	-109.8825945	4207057.007	598098.8964	14		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					14							
WAYPOINT	15	38.00627603	-109.9444381	4207037.008	592668.8958	15		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					15							
WAYPOINT	16	38.00574454	-109.9157422	4207007.005	595188.8958	16		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					16							
WAYPOINT	17	38.00519686	-109.9052713	4206957.002	596108.8989	17		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					17							
WAYPOINT	18	38.00489252	-109.8824957	4206947.004	598108.895	18		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					18							
WAYPOINT	19	38.00478565	-109.8902426	4206927.006	597428.8939	19		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					19							
WAYPOINT	19-1	37.98382133	-109.941106	4204548.834	592989.7775	23-JUL-13 8:30:02AM		City (Small)				1896.312012																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 2:30			23-JUL-13 8:30:02AM								
WAYPOINT	19-2	37.98383952	-109.9409237	4204551.035	593005.7647	23-JUL-13 8:30:40AM		City (Small)				1899.916748																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 2:30			23-JUL-13 8:30:40AM								
WAYPOINT	19-3	37.98385075	-109.9407644	4204552.44	593019.7438	23-JUL-13 8:31:23AM		City (Small)				1900.397461																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 2:31			23-JUL-13 8:31:23AM								
WAYPOINT	19-4	37.98356686	-109.9406993	4204521.005	593025.8218	23-JUL-13 8:32:11AM		City (Small)				1899.916748																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 2:32			23-JUL-13 8:32:11AM								
WAYPOINT	19-5	37.98357055	-109.9408678	4204521.246	593011.0141	23-JUL-13 8:32:42AM		City (Small)				1899.436035																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 2:32			23-JUL-13 8:32:42AM								
WAYPOINT	19-6	37.9835568	-109.9410205	4204519.568	592997.627	23-JUL-13 8:33:19AM		City (Small)				1898.715088																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 2:33			23-JUL-13 8:33:19AM								
WAYPOINT	2	38.01987751	-109.913939	4208577.007	595328.8985	2		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					2							
WAYPOINT	20	38.00390856	-109.9121244	4206806.999	595508.8997	20		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					20							
WAYPOINT	21	38.00268489	-109.9162429	4206667.004	595148.8958	21		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					21							
WAYPOINT	22	38.00126483	-109.8896122	4206537.006	597488.8953	22		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					22							
WAYPOINT	22-1	37.98321172	-109.9450835	4204477.228	592641.242	21-JUL-13 3:21:03PM		City (Small)				1885.977783																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 9:21			21-JUL-13 3:21:03PM								
WAYPOINT	22-2	37.98318079	-109.9449161	4204473.962	592655.981	21-JUL-13 3:21:33PM		City (Small)				1886.218262																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 9:21			21-JUL-13 3:21:33PM								
WAYPOINT	22-3	37.9831481	-109.9447906	4204470.46	592667.049	21-JUL-13 3:22:10PM		City (Small)				1885.737549																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 9:22			21-JUL-13 3:22:10PM								
WAYPOINT	22-4	37.98287854	-109.9449	4204440.442	592657.7744	21-JUL-13 3:22:56PM		City (Small)				1886.458496																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 9:22			21-JUL-13 3:22:56PM								
WAYPOINT	22-5	37.98293461	-109.9450444	4204446.52	592645.028	21-JUL-13 3:23:21PM		City (Small)				1885.977783																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 9:23			21-JUL-13 3:23:21PM								
WAYPOINT	22-6	37.98297836	-109.9452007	4204451.219	592631.2446	21-JUL-13 3:23:50PM		City (Small)				1885.977783																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 9:23			21-JUL-13 3:23:50PM								
WAYPOINT	23	38.0015038	-109.9250302	4206527.004	594378.8998	23		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					23							
WAYPOINT	24	38.00086191	-109.9043108	4206477.001	596198.8959	24		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					24							
WAYPOINT	24-1	37.98253513	-109.9427603	4204404.471	592846.1214	21-JUL-13 4:28:54PM		City (Small)				1884.055176																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 10:28			21-JUL-13 4:28:54PM								
WAYPOINT	24-2	37.98249054	-109.9425769	4204399.706	592862.2838	21-JUL-13 4:29:26PM		City (Small)				1885.737549																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 10:29			21-JUL-13 4:29:26PM								
WAYPOINT	24-3	37.98246154	-109.9424229	4204396.642	592875.8428	21-JUL-13 4:29:52PM		City (Small)				1885.016602																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 10:29			21-JUL-13 4:29:52PM								
WAYPOINT	24-4	37.98217529	-109.9425084	4204364.796	592868.6952	21-JUL-13 4:30:31PM		City (Small)				1884.295654																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 10:30			21-JUL-13 4:30:31PM								
WAYPOINT	24-5	37.98221628	-109.942654	4204369.198	592855.8572	21-JUL-13 4:30:58PM		City (Small)				1884.055176																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 10:30			21-JUL-13 4:30:58PM								
WAYPOINT	24-6	37.98223112	-109.9427942	4204370.705	592843.5232	21-JUL-13 4:31:22PM		City (Small)				1882.613281																	garmin GPSMap60CSX Software Version 4.20		7/21/2013 10:31			21-JUL-13 4:31:22PM								
WAYPOINT	25	38.0002077	-109.9411082	4206367.007	592968.9	25		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					25							
WAYPOINT	26	37.99845513	-109.8690404	4206247.003	599298.8932	26		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					26							
WAYPOINT	27	37.99855714	-109.9084451	4206217.004	595838.8968	27		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					27							
WAYPOINT	28	37.99725744	-109.9043644	4206077.004	596198.8949	28		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					28							
