ident,Latitude,Longitude,y_proj,x_proj,altitude,ident,Latitude,Longitude,y_proj,x_proj,altitude,,,POINT_X,POINT_Y,,,,,,,
B1-10P,37.95103,-109.9207993,4200931.132,594815.2879,1886.939209,B1_1,37.9457,-109.92004,4200340,594889,NA,,,594330.3311,4200616.419,,,,,,,
B1-1P,37.94569566,-109.920036,4200339.811,594889.2184,1895.831299,B1_2,37.95677167,-109.9299263,4201558.733,594006.0809,1874.44,,,594285.8946,4200532.302,,,,,,,
B1-2P,37.95677167,-109.9299263,4201558.733,594006.0809,1874.441895,B1_3,37.96868655,-109.9186458,4202892.208,594981.7479,1877.09,,,594079.138,4200633.408,,,,,,,
B1-3P,37.96868655,-109.9186458,4202892.208,594981.7479,1877.085938,B1_4,37.94908958,-109.9227854,4200713.589,594643.283,1885.74,,,594037.247,4200692.254,,,,,,,
B1-4P,37.94908958,-109.9227854,4200713.589,594643.283,1885.737549,B1_5,37.94971436,-109.917225,4200788.577,595131.0229,1882.85,,,594228.9279,4201855.39,,,,,,,
B1-5P,37.94971436,-109.917225,4200788.577,595131.0229,1882.853516,B1_6,37.95630832,-109.9259306,4201511.361,594357.7024,1879.97,,,594323.2929,4200823.465,,,,,,,
B1-6P,37.95630832,-109.9259306,4201511.361,594357.7024,1879.969727,B1_7,37.94912294,-109.9337744,4200706.183,593677.7266,1891.75,,,594073.8849,4200530.607,,,,,,,
B1-7P,37.94912294,-109.9337744,4200706.183,593677.7266,1891.745605,B1_8,37.95164002,-109.9336629,4200985.58,593684.3245,1873.24,,,594965.1789,4201458.179,,,,,,,
B1-8P,37.95164002,-109.9336629,4200985.58,593684.3245,1873.240479,B1_9,37.94866327,-109.915291,4200673.929,595302.3005,1892.23,,,593964.559,4201152.093,,,,,,,
B1-9P,37.94866327,-109.915291,4200673.929,595302.3005,1892.226318,B1_10,37.9457,-109.92004,4200931,594815,NA,,,593729.0225,4200896.705,,,,,,,
B2-10P,37.95355017,-109.9460994,4201185.088,592589.2741,1880.450439,B2_1,37.95226405,-109.930563,4201057.943,593955.8884,1880.93,,,594768.3785,4201544.574,,,,,,,
B2-1P,37.95226405,-109.930563,4201057.943,593955.8884,1880.931152,B2_2,37.950184,-109.9139018,4200844.085,595422.3932,1881.41,,,594116.1269,4200983.546,,,,,,,
B2-2P,37.950184,-109.9139018,4200844.085,595422.3932,1881.411621,B2_4,37.94839438,-109.9188675,4200640.441,594988.4093,1896.55,,,594098.9671,4201854.215,,,,,,,
B2-4P,37.94839438,-109.9188675,4200640.441,594988.4093,1896.552246,B2_5,37.97322594,-109.9285869,4203385.787,594102.741,1876.12,,,594053.1959,4200700.228,,,,,,,
B2-5P,37.97322594,-109.9285869,4203385.787,594102.741,1876.124512,B2_6,37.95640262,-109.9500612,4201497.653,592237.6383,1876.85,,,594339.7073,4200773.517,,,,,,,
B2-6P,37.95640262,-109.9500612,4201497.653,592237.6383,1876.845459,B2_7,37.95841101,-109.9269514,4201743.633,594265.3312,1865.79,,,594452.3555,4201807.013,,,,,,,
B2-7P,37.95841101,-109.9269514,4201743.633,594265.3312,1865.790283,B2_8,37.97283794,-109.9233295,4203348.063,594565.0105,1878.77,,,595076.0894,4201433.543,,,,,,,
B2-8P,37.97283794,-109.9233295,4203348.063,594565.0105,1878.768066,B2_9,37.94790052,-109.9194379,4200585.062,594938.929,1894.39,,,594081.6502,4200646.218,,,,,,,
B2-9P,37.94790052,-109.9194379,4200585.062,594938.929,1894.38916,B2_10,37.95355017,-109.9460994,4201185.088,592589.2741,1880.45,,,594167.1585,4200631.148,,,,,,,
B3-10P,37.94656788,-109.9162575,4200440.444,595220.092,1895.59082,B3_1,37.97279075,-109.9268705,4203339.237,594254.0582,1866.51,,,594225.4464,4201066.816,,,,,,,
B3-1P,37.97279075,-109.9268705,4203339.237,594254.0582,1866.51123,B3_2,37.95322965,-109.9226441,4201173.098,594650.3868,1890.3,,,594033.2483,4201169.827,,,,,,,
