ident	Latitude	Longitude	y_proj	x_proj	comment	altitude
7	37.95631126	-109.9259714	4201511.005	594355.0788	17-JUL-13 3:21:27PM	1880.690674
007 02	37.95040285	-109.9455649	4200835.765	592641.154	007 02	1885.737549
007 03	37.95142779	-109.9454789	4200949.574	592647.4225	007 03	1878.047119
007 OR 051 01	37.94900383	-109.9150449	4200711.326	595324.4563	007 OR 051 01	1883.093994
9	37.95026983	-109.9454479	4200821.122	592651.6018	9	1880.690674
10	37.95040285	-109.9455649	4200835.765	592641.154	10	1885.497314
11	37.95143182	-109.9454629	4200950.036	592648.824	11	1877.566406
12	37.97602784	-109.9377409	4203686.822	593296.1409	12	1877.566406
13	37.97523583	-109.9237679	4203613.039	594524.3975	13	1879.729492
041 01	37.95143182	-109.9454639	4200950.035	592648.7356	041 01	1877.566406
041 02	37.95904283	-109.9496838	4201790.333	592268.453	041 02	1870.59668
051 01	37.95000387	-109.9294479	4200807.647	594057.7023	051 01	1880.450439
1	38.02125273	-109.9067414	4208736.358	595959.8602	1	
10	38.00950633	-109.9034986	4207436.36	596259.8626	10	
103 01	37.9467118	-109.9142689	4200457.806	595395.6008	103 01	1894.38916
103 02	37.94787982	-109.9144819	4200587.187	595375.3769	103 02	1888.861816
11	38.00734364	-109.9035308	4207196.359	596259.865	11	
12	38.00735814	-109.9345128	4207166.365	593539.8608	12	
13	38.00678691	-109.9115124	4207126.359	595559.865	13	
14	38.00588485	-109.8825945	4207056.365	598099.8621	14	
15	38.00627603	-109.9444381	4207036.366	592669.8621	15	
16	38.00574454	-109.9157422	4207006.364	595189.8618	16	
17	38.00519686	-109.9052713	4206956.36	596109.8648	17	
18	38.00489252	-109.8824957	4206946.363	598109.8606	18	
19	38.00478565	-109.8902426	4206926.364	597429.8596	19	
19-1	37.98382133	-109.941106	4204548.193	592990.7439	23-JUL-13 8:30:02AM	1896.312012
19-2	37.98383952	-109.9409237	4204550.393	593006.7311	23-JUL-13 8:30:40AM	1899.916748
19-3	37.98385075	-109.9407644	4204551.799	593020.7102	23-JUL-13 8:31:23AM	1900.397461
19-4	37.98356686	-109.9406993	4204520.364	593026.7882	23-JUL-13 8:32:11AM	1899.916748
19-5	37.98357055	-109.9408678	4204520.605	593011.9805	23-JUL-13 8:32:42AM	1899.436035
19-6	37.9835568	-109.9410205	4204518.927	592998.5934	23-JUL-13 8:33:19AM	1898.715088
2	38.01987751	-109.913939	4208576.365	595329.8644	2	
20	38.00390856	-109.9121244	4206806.357	595509.8657	20	
21	38.00268489	-109.9162429	4206666.362	595149.8618	21	
22	38.00126483	-109.8896122	4206536.364	597489.8611	22	
22-1	37.98321172	-109.9450835	4204476.586	592642.2085	21-JUL-13 3:21:03PM	1885.977783
22-2	37.98318079	-109.9449161	4204473.321	592656.9475	21-JUL-13 3:21:33PM	1886.218262
22-3	37.9831481	-109.9447906	4204469.819	592668.0155	21-JUL-13 3:22:10PM	1885.737549
22-4	37.98287854	-109.9449	4204439.8	592658.7409	21-JUL-13 3:22:56PM	1886.458496
22-5	37.98293461	-109.9450444	4204445.879	592645.9945	21-JUL-13 3:23:21PM	1885.977783
22-6	37.98297836	-109.9452007	4204450.578	592632.2111	21-JUL-13 3:23:50PM	1885.977783
23	38.0015038	-109.9250302	4206526.362	594379.866	23	
24	38.00086191	-109.9043108	4206476.359	596199.8618	24	
24-1	37.98253513	-109.9427603	4204403.829	592847.0878	21-JUL-13 4:28:54PM	1884.055176
24-2	37.98249054	-109.9425769	4204399.065	592863.2502	21-JUL-13 4:29:26PM	1885.737549
24-3	37.98246154	-109.9424229	4204396	592876.8092	21-JUL-13 4:29:52PM	1885.016602
24-4	37.98217529	-109.9425084	4204364.155	592869.6616	21-JUL-13 4:30:31PM	1884.295654
24-5	37.98221628	-109.942654	4204368.557	592856.8236	21-JUL-13 4:30:58PM	1884.055176
24-6	37.98223112	-109.9427942	4204370.063	592844.4896	21-JUL-13 4:31:22PM	1882.613281
25	38.0002077	-109.9411082	4206366.366	592969.8663	25	
26	37.99845513	-109.8690404	4206246.361	599299.8588	26	
27	37.99855714	-109.9084451	4206216.362	595839.8628	27	
28	37.99725744	-109.9043644	4206076.363	596199.8608	28	
29	37.99674304	-109.8690666	4206056.365	599299.864	29	
3	38.01851529	-109.91282	4208426.364	595429.8601	3	
30	37.99676324	-109.8997023	4206026.358	596609.8625	30	
31	37.99615807	-109.9024446	4205956.366	596369.8659	31	
32	37.99580427	-109.8745476	4205946.367	598819.8616	32	
33	37.99335843	-109.86388	4205686.365	599759.8636	33	
33-1	37.96627122	-109.9592401	4202582.941	591419.9726	23-JUL-13 10:37:27AM	1847.044922
33-2	37.96616913	-109.9592572	4202571.596	591418.5972	23-JUL-13 10:36:52AM	1848.246338
33-3	37.96607995	-109.9593116	4202561.647	591413.9294	23-JUL-13 10:35:54AM	1850.409424
33-4	37.96604491	-109.9596455	4202557.432	591384.6469	23-JUL-13 10:40:54AM	1847.765869
33-5	37.96616812	-109.9596192	4202571.129	591386.806	23-JUL-13 10:40:00AM	1847.044922
33-6	37.96630324	-109.9595902	4202586.15	591389.186	23-JUL-13 10:39:11AM	1845.843262
34	37.98826818	-109.8687412	4205116.365	599339.8647	34	
35	37.98794825	-109.8824111	4205066.364	598139.8646	35	
36	37.98763887	-109.8783164	4205036.362	598499.86	36	
37	37.98820892	-109.9599564	4205016.36	591329.8658	37	
38	37.98496152	-109.88109	4204736.36	598259.8593	38	
38-1	37.95922061	-109.9260716	4201833.714	594342.557	05-AUG-13 3:11:48PM	1871.79834
38-2	37.9590974	-109.926201	4201819.912	594331.3454	05-AUG-13 3:12:21PM	1868.193604
38-3	37.95902364	-109.9263034	4201811.624	594322.449	05-AUG-13 3:12:58PM	1865.550049
38-4	37.95920276	-109.9265889	4201831.209	594297.1325	05-AUG-13 3:13:42PM	1863.867676
38-5	37.95929664	-109.9264407	4201841.776	594310.0384	05-AUG-13 3:14:12PM	1864.588623
38-6	37.95937224	-109.9263236	4201850.283	594320.2285	05-AUG-13 3:14:40PM	1862.185303
38P	37.95918935	-109.9263302	4201829.983	594319.8807	05-AUG-13 2:57:50PM	1876.605225
39	37.98371279	-109.9408899	4204536.365	593009.865	39	
39-1	37.95858351	-109.9105427	4201778.867	595707.5941	22-JUL-13 9:38:12AM	1898.715088
39-2	37.95866615	-109.9105595	4201788.02	595706.0141	22-JUL-13 9:39:38AM	1899.916748
39-3	37.95879984	-109.9107121	4201802.697	595692.4316	22-JUL-13 9:40:17AM	1899.436035
39-4	37.95896128	-109.9104274	4201820.901	595717.2286	22-JUL-13 9:45:38AM	1900.878174
39-5	37.95887235	-109.9103036	4201811.161	595728.22	22-JUL-13 9:44:48AM	1899.436035
39-6	37.95876154	-109.9102236	4201798.948	595735.396	22-JUL-13 9:43:06AM	1898.474854
4	38.01714459	-109.9107896	4208276.361	595609.8632	4	
40	37.98288876	-109.8716705	4204516.358	599089.8617	40	
40-1	37.95800549	-109.9331416	4201691.751	593722.9996	05-AUG-13 2:27:25PM	1880.209961
40-2	37.95790105	-109.9330126	4201680.292	593734.465	05-AUG-13 2:26:40PM	1881.171387
40-3	37.95779737	-109.9329133	4201668.888	593743.3226	05-AUG-13 2:26:09PM	1880.690674
40-4	37.9575895	-109.9331561	4201645.579	593722.2617	05-AUG-13 2:29:18PM	1883.574707
40-5	37.95769142	-109.933265	4201656.779	593712.5595	05-AUG-13 2:28:39PM	1882.132568
40-6	37.95779653	-109.9334025	4201668.303	593700.3496	05-AUG-13 2:28:11PM	1881.171387
41	37.98279882	-109.8811228	4204496.359	598259.8656	41	
42	37.98302866	-109.9449989	4204456.359	592649.8659	42	
42-1	37.95508951	-109.925798	4201375.62	594371.8778	05-AUG-13 4:12:44PM	1881.6521
42-2	37.95516914	-109.9256725	4201384.583	594382.7996	05-AUG-13 4:13:12PM	1882.853516
42-3	37.95524349	-109.9255639	4201392.942	594392.248	05-AUG-13 4:13:54PM	1885.016602
42-4	37.95507845	-109.9253136	4201374.883	594414.4479	05-AUG-13 4:10:54PM	1883.574707
42-5	37.9549756	-109.9254513	4201363.332	594402.4806	05-AUG-13 4:11:18PM	1882.613281
42-6	37.95489262	-109.9255643	4201354.011	594392.6603	05-AUG-13 4:11:53PM	1881.6521
43	37.98180196	-109.8711178	4204396.359	599139.8634	43	
43-1	37.95179886	-109.9475671	4200988.671	592463.4919	22-JUL-13 5:12:39PM	1891.024658
43-2	37.95166047	-109.9475587	4200973.325	592464.4018	22-JUL-13 5:13:11PM	1890.543945
43-3	37.95150641	-109.9475189	4200956.27	592468.093	22-JUL-13 5:13:45PM	1890.784424
43-4	37.95147305	-109.9478741	4200952.216	592436.9251	22-JUL-13 5:14:34PM	1891.745605
43-5	37.95160901	-109.9478945	4200967.281	592434.9653	22-JUL-13 5:15:06PM	1891.505371
43-6	37.95172007	-109.9479202	4200979.578	592432.5653	22-JUL-13 5:15:45PM	1890.543945
44	37.98253882	-109.9608335	4204386.366	591259.8611	44	
44-1	37.95117441	-109.9500609	4200916.912	592245.1656	23-JUL-13 1:05:14PM	1879.248779
