MaxAWC,Class
19.47,1
11.687,1
11.687,1
12.831,1
13.105,2
10.464,2
11.687,1
11.355,1
16.672,2
22.584,2
13.105,3
14.97,1
14.97,1
11.687,1
13.105,1
11.687,1
12.703,1
11.542,2
16.417,1
15.903,1
17.159,1
20.529,1
10.492,3
17.547,2
11.751,1
10.492,1
11.355,1
9.155,1
17.159,3
9.155,1
11.687,2
11.843,1
11.687,1
10.464,2
7.768,1
11.687,2
11.687,3
8.638,1
11.687,1
12.831,2
14.562,3
11.687,1
11.542,1
10.431,1
11.542,1
9.155,1
14.97,1
14.97,3
16.672,1
12.621,2
9.493,3
13.105,1
11.687,1
19.47,1
7.43,1
11.687,1
19.504,2
9.285,1
11.542,1
9.285,1
13.105,1
10.464,1
19.903,1
10.443,2
7.768,1
11.843,1
9.155,2
10.492,1
11.843,1
10.431,1
9.155,2
7.768,1
17.615,1
9.155,1
11.355,3
9.493,1
11.355,3
10.483,1
6.523,3
11.687,2
14.054,3
11.687,3
11.542,3
9.285,2
9.155,1
13.105,3
11.542,1
10.464,1
14.97,2
9.155,1
12.831,2
14.97,1
14.583,1
11.687,2
8.285,3
11.038,1
14.97,1
12.977,1
