maxSand,Class
85,1
75,1
70,1
80,1
75,2
70,2
75,1
65,1
80,2
60,2
75,3
75,1
80,1
80,1
70,1
70,1
60,1
75,2
70,1
74,1
80,1
55,1
65,3
75,2
70,1
70,1
80,1
75,1
80,3
70,1
80,2
60,1
80,1
75,2
70,1
80,2
70,3
60,1
65,1
70,2
70,3
65,1
80,1
80,1
65,1
70,1
75,1
60,3
60,1
65,2
80,3
70,1
60,1
40,1
75,1
80,1
75,2
75,1
70,1
70,1
80,1
75,1
80,1
40,2
70,1
80,1
70,2
70,1
65,1
80,1
75,2
70,1
80,1
65,1
75,3
70,1
75,3
70,1
80,3
80,2
75,3
80,3
80,3
80,2
80,1
75,3
80,1
75,1
75,2
85,1
70,2
70,1
70,1
80,2
80,3
70,1
75,1
55,1
