minpH,Class
7.8,1
7.8,1
7.8,1
7.8,1
7.6,2
6.8,2
7.8,1
7,1
7.8,2
7.6,2
7.6,3
6.4,1
7.8,1
7.3,1
7.4,1
7.2,1
7.8,1
8.1,2
7.5,1
7.6,1
7.8,1
7.6,1
7.5,3
7.6,2
7.6,1
7.6,1
7.6,1
7.3,1
7.6,3
7.8,1
8.1,2
7.6,1
7.6,1
7.8,2
7.6,1
7.4,2
7.8,3
7.8,1
6.6,1
7.8,2
7.8,3
7.6,1
6.5,1
7.2,1
7.8,1
7.8,1
6.6,1
7.6,3
6.4,1
7.6,2
7.6,3
7.6,1
7,1
7.6,1
7,1
7.6,1
7.4,2
6.6,1
7.6,1
7.4,1
7.8,1
7.4,1
7.8,1
7.8,2
7.6,1
7.8,1
7.4,2
8.1,1
7.6,1
7.8,1
7.3,2
8,1
7.6,1
6.6,1
7.6,3
7.5,1
8,3
6.6,1
7.6,3
7.4,2
7.6,3
7.4,3
8,3
7.6,2
7.4,1
7.6,3
7,1
7.6,1
7.6,2
8,1
7.4,2
7.4,1
7.8,1
7.8,2
7.6,3
6.8,1
8,1
7.6,1
