"","X","ARTR2","ARTR2.D","ATCA2","ATCA2.D","ATCO","ATCO.D","CHNAA3","CHVI8","CHVI8.D","EPVI","JUOS","KRLA2","KRLA2.D","PIED","PIED.D","YUAN2","YUAN2.D","YUBA","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DryHue","H1.MoistHue","H1.DryChroma","H1.MoistChroma","H1.Effervescence","Tot.DryRed","Tot.DryHue","Tot.DryValue","Tot.DryCClass","Tot.DryChroma","Tot.MoistRed","Tot.MoistHue","Tot.MoistValue","Tot.MoistCClass","Tot.MoistChroma","Tot.Texture","Tot.SandSize","Tot.Effervescence","Tot.EfferScale","Sub.DryRed","Sub.DryHue","Sub.DryValue","Sub.DryCClass","Sub.DryChroma","Sub.MoistRed","Sub.MoistHue","Sub.MoistValue","Sub.MoistCClass","Sub.MoistChroma","Sub.Texture","Sub.SandSize","Sub.Effervescence","Sub.EfferScale"
"1","B1_1",0.0833333333333333,0.222222222222222,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0.305555555555556,0.00555555555555556,0,0,0,0,0,1895.879054,40,1,"LV",0,1,188,0,2,6,2,2,4,2,"SiL",40,"VF",5,7.8,3,5,"7.5YR","7.5YR",4,4,"ST",2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"SL","F","VE",4,2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"SL","F","VE",4
"2","B1_10",0.0222222222222222,0.188888888888889,0,0,0,0,0,0,0,0,0,0.372222222222222,0,0,0,0,0,0,1887.039746,344,2,"LV",0,0,44,0,2,5,2,2,3,2,"SL",50,"VF",5,7.8,1,4,"7.5YR","7.5YR",4,3,"VS",2,"7.5YR",5,2,4,3,"5YR",4,2,4,"SL","F","SL",2,2,"7.5YR",5,2,4,3,"5YR",4,2,4,"SL","F","SL",2
"3","B1_2",0.0166666666666667,0.0222222222222222,0.105555555555556,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,1874.542794,100,6,"CL",0,1,51,0,2,6,2,2,4,2,"SL",60,"F",5,7.8,0,6,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"4","B1_3",0.0111111111111111,0,0.105555555555556,0.00555555555555556,0,0,0,0,0,0,0,0.305555555555556,0,0,0,0,0,0,1876.981224,170,4,"LV",1,1,200,1,3,6,2,3,4,2,"SL",60,"F",5,7.8,2,7,"5YR","5YR",4,4,"SL",3,"5YR",7,2,4,3,"5YR",5,2,4,"SL","F","ST",3,3,"5YR",7,2,4,3,"5YR",5,2,4,"SL","F","ST",3
"5","B1_4",0,0.00555555555555556,0.0722222222222222,0,0,0,0,0,0,0,0,0.488888888888889,0,0,0,0,0,0,1885.820532,30,3,"CL",0,1,187,0,2,6,2,2,4,2,"SL",55,"F",7,7.6,2,6,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","SL",2,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","SL",2
"6","B1_5",0,0.0777777777777778,0.144444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882.772495,60,4,"CL",1,0,153,0,2,5,2,2,4,2,"SL",55,"F",5,6.8,0,6,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",6,3,6,2,"7.5YR",4,3,6,"SL","F","VE",4,2,"7.5YR",6,3,6,2,"7.5YR",4,3,6,"SL","F","VE",4
"7","B1_6",0.00555555555555556,0.261111111111111,0.15,0.00555555555555556,0,0,0.00555555555555556,0.00555555555555556,0,0,0,0.0333333333333333,0,0,0,0,0,0,1880.029261,270,3,"VV",1,0,59,0,2,6,2,2,4,2,"SL",65,"F",5,7.8,1,5,"7.5YR","7.5YR",4,4,"VS",3,"5YR",6,2,4,3,"5YR",5,2,4,"SL","F","SL",2,3,"5YR",6,2,4,3,"5YR",5,2,4,"LS","F","SL",2
"8","B1_7",0.361111111111111,0.277777777777778,0.0222222222222222,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,1891.611802,0,5,"CL",1,1,116,0,2,5,2,2,3,2,"SL",60,"F",5,7,0,7,"7.5YR","7.5YR",4,3,"NE",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"9","B1_8",0,0.00555555555555556,0.0222222222222222,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1873.32358,320,2,"LL",0,1,200,1,2,6,2,2,4,2,"SL",80,"F",7,7.8,2,6,"7.5YR","7.5YR",4,3,"SL",2,"7.5YR",7,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"10","B1_9",0,0.288888888888889,0.0111111111111111,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,1892.221409,20,5,"CL",0,1,180,0,2,6,2,2,4,2,"SL",50,"F",5,7.6,1,4,"7.5YR","7.5YR",4,4,"VS",3,"5YR",6,2,4,3,"5YR",5,2,4,"SL","F","ST",3,3,"5YR",6,2,4,3,"5YR",5,2,4,"SL","F","ST",3
"11","B2_1",0,0,0.00555555555555556,0,0,0,0,0,0,0,0,2.22222222222222,0,0,0,0,0,0,1880.943672,350,4,"LL",0,0,200,1,2,6,2,2,4,2,"SL",55,"F",5,7.6,1,7,"7.5YR","7.5YR",4,4,"VS",3,"5YR",7,2,3,3,"5YR",5,2,4,"LS","M","ST",3,3,"5YR",7,2,3,3,"5YR",5,2,4,"LS","M","ST",3
"12","B2_10",0.1,0.166666666666667,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,1880.334065,210,1,"VV",1,1,200,1,2,5,2,2,3,2,"SL",50,"VF",5,6.4,0,5,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"L","VF","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"L","VF","ST",3
"13","B2_2",0.00555555555555556,0.438888888888889,0.138888888888889,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,1881.55328,0,4,"LV",0,2,200,1,2,6,2,2,5,2,"SL",50,"F",5,7.8,2,4,"7.5YR","7.5YR",4,4,"SL",3,"5YR",8,2,3,3,"5YR",7,2,4,"SL","F","VE",4,3,"5YR",8,2,3,3,"5YR",7,2,4,"SL","F","VE",4
"14","B2_4",0.05,0.255555555555556,0,0,0,0,0,0,0,0,0,1.03333333333333,0.00555555555555556,0,0,0,0,0,1896.488661,91,1,"LV",1,1,107,0,2,6,3,2,4,2,"SL",65,"VF",5,7.3,0,4,"7.5YR","7.5YR",6,3,"NE",3,"5YR",6,3,6,2,"7.5YR",4,2,4,"SL","F","ST",3,3,"5YR",6,3,6,2,"7.5YR",4,2,4,"SL","F","ST",3
"15","B2_5",0.0611111111111111,0.227777777777778,0.0222222222222222,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,1876.066813,200,4,"LV",0,1,185,0,2,6,2,2,4,2,"SL",60,"F",5,7.4,2,7,"7.5YR","7.5YR",4,4,"SL",3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"16","B2_6",0.0111111111111111,0.0166666666666667,0.00555555555555556,0,0,0,0,0.244444444444444,0.00555555555555556,0,0,0.672222222222222,0,0,0,0,0,0,1876.981224,10,3,"CC",1,1,200,1,2,6,2,2,4,2,"SL",55,"VF",5,7.2,0,6,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","MIX","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","MIX","ST",3
"17","B2_7",0.0111111111111111,0.15,0.0111111111111111,0.0111111111111111,0,0,0,0.0277777777777778,0.00555555555555556,0,0,0,0,0,0,0,0,0,1865.703487,0,10,"CL",1,1,106,0,2,6,2,2,4,2,"SL",60,"F",5,7.8,2,7,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,2,4,2,"7.5YR",5,3,6,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,3,6,"SL","F","ST",3
"18","B2_8",0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.0111111111111111,0.00555555555555556,0,0,0,0,0,1878.810046,250,3,"CL",0,1,156,0,3,6,2,3,4,2,"SL",75,"VF",11,8.1,3,7,"5YR","5YR",4,3,"ST",3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","VF","VE",4,3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","VF","VE",4
"19","B2_9",0.0277777777777778,0.3,0.00555555555555556,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,1894.355035,100,5,"LV",1,1,27,0,3,5,3,3,4,2,"SL",60,"F",7,7.5,0,5,"5YR","5YR",6,4,"NE",2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"SL","F","SL",2,2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"SL","F","SL",2
"20","B3_1",0.0777777777777778,0.172222222222222,0,0,0,0,0,0.0944444444444444,0.00555555555555556,0.244444444444444,0,0,0,0,0,0,0,0,1866.617898,310,6,"CV",1,1,81,0,3,6,3,3,4,2,"SL",60,"F",5,7.6,2,6,"5YR","5YR",6,4,"SL",3,"5YR",7,2,3,3,"5YR",6,2,4,"SL","F","VE",4,3,"5YR",7,2,3,3,"5YR",6,2,4,"L","F","VE",4
"21","B3_10",0.372222222222222,0.155555555555556,0.00555555555555556,0,0,0,0,0,0,0,0.0111111111111111,0.472222222222222,0,0,0,0,0,0,1895.57425,250,5,"CV",1,2,42,0,2,5,2,2,4,2,"SL",45,"F",5,7.8,2,8,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,2,3,2,"7.5YR",5,2,3,"LS","F","ST",3,2,"7.5YR",7,2,3,2,"7.5YR",5,2,3,"LS","F","ST",3
"22","B3_2",0.0222222222222222,0.194444444444444,0,0,0,0,0,0,0,0,0,1.21666666666667,0,0,0,0,0,0,1890.392587,250,4,"VV",1,0,67,0,2,5,2,2,3,2,"SL",55,"F",5,7.6,2,4,"7.5YR","7.5YR",4,4,"SL",3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3
"23","B3_3",0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877.895635,90,2,"LL",0,0,200,1,2,6,2,2,4,2,"SL",50,"F",5,7.6,2,5,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"24","B3_4",0,0.0111111111111111,0.0166666666666667,0,0,0,0,0,0,0.261111111111111,0,0,0,0,0,0,0,0,1873.628383,100,5,"CL",0,0,148,0,2,6,2,2,4,2,"SL",70,"F",3,7.6,0,7,"7.5YR","7.5YR",4,4,"NE",3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"25","B3_5",0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,1893.745428,35,1,"CL",1,0,178,0,2,6,3,2,4,3,"L",45,"VF",15,7.8,3,5,"7.5YR","7.5YR",6,6,"ST",2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"L","VF","ST",3,2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"L","VF","ST",3
"26","B3_6",0.0111111111111111,0.366666666666667,0,0,0,0,0,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,1867.837113,270,6,"VV",1,1,169,0,2,6,2,2,4,2,"SL",70,"F",5,7.6,1,5,"7.5YR","7.5YR",4,3,"VS",3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"27","B3_7",0.0333333333333333,0.3,0.0222222222222222,0.00555555555555556,0,0,0,0,0,0.0555555555555556,0,0,0,0,0.00555555555555556,0,0,0,1874.847598,260,5,"CC",0,2,135,0,2,6,3,2,4,2,"SL",65,"F",3,7.6,0,6,"7.5YR","7.5YR",6,3,"NE",3,"5YR",6,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",6,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"28","B3_8",0.0333333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0.05,0.0166666666666667,0,0,0,0,0,1878.200439,246,1,"LV",0,2,95,0,2,5,3,2,3,2,"SL",70,"VF",5,7.3,0,5,"7.5YR","7.5YR",6,4,"NE",2,"7.5YR",5,3,6,2,"7.5YR",3,2,4,"SL","VF","SL",2,2,"7.5YR",5,2,4,2,"7.5YR",3,2,4,"SL","VF","SL",2
