"","row","column","cor","p"
"16","NitrogePct","BioticCrustClass",-0.305467814207077,0.0119470674028774
"17","ProteinPct","BioticCrustClass",-0.305467814207077,0.0119470674028774
"92","NitrogePct","H1.MoistCClass",-0.223350092768669,0.0692446237374487
"93","ProteinPct","H1.MoistCClass",-0.223350092768669,0.0692446237374487
"29","NitrogePct","Depth200",-0.179594472050667,0.145881815137602
"30","ProteinPct","Depth200",-0.179594472050667,0.145881815137602
"2","NitrogePct","Elevation",-0.131924286484718,0.287244979565729
"3","ProteinPct","Elevation",-0.131924286484718,0.287244979565729
"7","NitrogePct","Slope",-0.114667631685734,0.355494523433828
"8","ProteinPct","Slope",-0.114667631685734,0.355494523433828
"56","NitrogePct","H1.DryCClass",-0.114245414733887,0.357280444099897
"57","ProteinPct","H1.DryCClass",-0.114245414733887,0.357280444099897
"22","NitrogePct","PedonDepth",-0.0618488043546677,0.619045523683104
"23","ProteinPct","PedonDepth",-0.0618488043546677,0.619045523683104
"497","NitrogePct","Sand.50",-0.0508949458599091,0.682526090679358
"498","ProteinPct","Sand.50",-0.0508949458599091,0.682526090679358
"862","NitrogePct","MaxAWHC",-0.0373277962207794,0.764256683446491
"863","ProteinPct","MaxAWHC",-0.0373277962207794,0.764256683446491
"466","NitrogePct","DWA.AWHC",-0.0309718623757362,0.803512100092051
"467","ProteinPct","DWA.AWHC",-0.0309718623757362,0.803512100092051
"232","NitrogePct","Tot.DryValue",-0.0150264333933592,0.903937558736838
"233","ProteinPct","Tot.DryValue",-0.0150264333933592,0.903937558736838
"4","NitrogePct","Aspect",-0.00747706601396203,0.95211463810104
"5","ProteinPct","Aspect",-0.00747706601396203,0.95211463810104
"596","NitrogePct","DryValue.50",-0.00603607343509793,0.961335282851514
"597","ProteinPct","DryValue.50",-0.00603607343509793,0.961335282851514
"436","NitrogePct","DWApH",0.000538814638275653,0.99654725500556
"437","ProteinPct","DWApH",0.000538814638275653,0.99654725500556
"46","NitrogePct","H1.DryValue",0.00156583648640662,0.989966287096071
"47","ProteinPct","H1.DryValue",0.00156583648640662,0.989966287096071
"79","NitrogePct","H1.MoistValue",0.00916879251599312,0.941297667116652
"80","ProteinPct","H1.MoistValue",0.00916879251599312,0.941297667116652
"326","NitrogePct","Tot.MoistCClass",0.0120766870677471,0.922730240484918
"327","ProteinPct","Tot.MoistCClass",0.0120766870677471,0.922730240484918
"191","NitrogePct","H1.DWA_AWC",0.0149459233507514,0.904449834435354
"192","ProteinPct","H1.DWA_AWC",0.0149459233507514,0.904449834435354
"137","NitrogePct","H1.pH",0.0159277077764273,0.898205571761796
"138","ProteinPct","H1.pH",0.0159277077764273,0.898205571761796
"667","NitrogePct","AWHC.50",0.0211347453296185,0.865199930132213
"668","ProteinPct","AWHC.50",0.0211347453296185,0.865199930132213
"407","NitrogePct","DWASand",0.024832570925355,0.841895994211654
"408","ProteinPct","DWASand",0.024832570925355,0.841895994211654
"301","NitrogePct","Tot.MoistValue",0.0295194443315268,0.812554742713611
"302","ProteinPct","Tot.MoistValue",0.0295194443315268,0.812554742713611
"562","NitrogePct","pH.50",0.0386399738490582,0.756222061270425
"563","ProteinPct","pH.50",0.0386399738490582,0.756222061270425
"121","NitrogePct","H1.ClayPercent",0.0416899397969246,0.737647237979549
