"","row","column","cor","p"
"154","pdw","H1.EfferScale",-0.501925706863403,0.04758289892913
"79","pdw","H1.MoistValue",-0.47186690568924,0.064988270121991
"137","pdw","H1.pH",-0.457460939884186,0.074807682554493
"467","sla","DWA.AWHC",-0.43529412150383,0.0919523552990278
"172","pdw","H1.Depth",-0.435086607933044,0.0921250072682143
"106","pdw","H1.SandPercent",-0.404154032468796,0.120521477797733
"4","pdw","Aspect",-0.34808412194252,0.186445701472197
"301","pdw","Tot.MoistValue",-0.3465516269207,0.18852389222332
"704","pdw","MaxClay",-0.3297498524189,0.212304088010008
"5","sla","Aspect",-0.315635591745377,0.23370289605873
"12","sla","CarbonateStage",-0.307134419679642,0.247222861921472
"407","pdw","DWASand",-0.300000011920929,0.258936432710062
"632","sla","EfferScale.50",-0.299043208360672,0.260532854475112
"255","sla","Tot.DryCClass",-0.286972016096115,0.281191333945748
"497","pdw","Sand.50",-0.274154335260391,0.304175101693376
"327","sla","Tot.MoistCClass",-0.252050429582596,0.346322368671269
"668","sla","AWHC.50",-0.248525068163872,0.35333507364868
"436","pdw","DWApH",-0.24705882370472,0.356275041160251
"379","pdw","DWAClay",-0.244838818907738,0.360752329283743
"562","pdw","pH.50",-0.242416113615036,0.36567399138385
"232","pdw","Tot.DryValue",-0.221062839031219,0.41063529343536
"1","pdw","sla",-0.220588237047195,0.411666426686661
"46","pdw","H1.DryValue",-0.217832460999489,0.417680581056218
"905","sla","MaxEffervescence",-0.196039214730263,0.466824842150197
"8","sla","Slope",-0.176392152905464,0.513440864606297
"948","sla","ARTR2",-0.16179296374321,0.54941246493117
"38","sla","H1.DryRed",-0.115044750273228,0.671373410849287
"3","sla","Elevation",-0.106195151805878,0.695476959153684
"68","sla","H1.MoistRed",-0.0840168073773384,0.757052717755865
"596","pdw","DryValue.50",-0.0814091563224792,0.764391348134236
"107","sla","H1.SandPercent",-0.0755013078451157,0.781086444380002
"122","sla","H1.ClayPercent",-0.0754244923591614,0.781304126528775
"7","pdw","Slope",-0.0738736391067505,0.785702219284803
"30","sla","Depth200",-0.0683266744017601,0.8014819009899
"212","sla","Tot.DryRed",-0.0626224279403687,0.817784323633379
"57","sla","H1.DryCClass",-0.0521050095558167,0.848022288452676
"23","sla","PedonDepth",-0.0429844409227371,0.874407622170517
"37","pdw","H1.DryRed",-0.0383482500910759,0.887869300946204
"277","pdw","Tot.MoistRed",-0.0173683371394873,0.949096031910981
"211","pdw","Tot.DryRed",0,1
"353","sla","Tot.EfferScale",0,1
"121","pdw","H1.ClayPercent",0.00359164271503687,0.989467358584263
"781","pdw","MaxpH",0.00905976537615061,0.973435537309723
"821","pdw","MaxDryValue",0.0110141336917877,0.967707597561572
"56","pdw","H1.DryCClass",0.0173683371394873,0.949096031910981
"278","sla","Tot.MoistRed",0.0173683371394873,0.949096031910981
"191","pdw","H1.DWA_AWC",0.0220750607550144,0.935325345757004
"11","pdw","CarbonateStage",0.0438763462007046,0.871821468642342
"17","sla","BioticCrustClass",0.0540098920464516,0.842529701046765
"863","sla","MaxAWHC",0.0649450942873955,0.811137437603312
"782","sla","MaxpH",0.0739880800247192,0.785377464833662
"742","pdw","MaxSand",0.0789475291967392,0.771336327892278
"530","sla","Clay.50",0.095261350274086,0.725636824900862
"380","sla","DWAClay",0.100295424461365,0.711700849104567
"92","pdw","H1.MoistCClass",0.115044750273228,0.671373410849287
"563","sla","pH.50",0.11810015887022,0.663119306072082
"254","pdw","Tot.DryCClass",0.122988007962704,0.649990452417871
"326","pdw","Tot.MoistCClass",0.140028014779091,0.604990404982547
"29","pdw","Depth200",0.150318682193756,0.578433576908376
"529","pdw","Clay.50",0.156166151165962,0.563564098305597
"705","sla","MaxClay",0.160295069217682,0.553164469900391
"2","pdw","Elevation",0.171092182397842,0.526372524562331
"22","pdw","PedonDepth",0.171937763690948,0.524299494138244
"352","pdw","Tot.EfferScale",0.192470297217369,0.475134028903974
"67","pdw","H1.MoistRed",0.196039214730263,0.466824842150197
"192","sla","H1.DWA_AWC",0.198675543069839,0.460733261277895
"80","sla","H1.MoistValue",0.219427824020386,0.414193307422662
"597","sla","DryValue.50",0.228571861982346,0.394503412164972
"466","pdw","DWA.AWHC",0.244117647409439,0.362213495430769
"822","sla","MaxDryValue",0.292661279439926,0.271335314102548
"498","sla","Sand.50",0.299903631210327,0.259096970256158
"16","pdw","BioticCrustClass",0.309329390525818,0.243686507566726
"155","sla","H1.EfferScale",0.323221504688263,0.222039561014862
"437","sla","DWApH",0.332352936267853,0.208499835114218
"862","pdw","MaxAWHC",0.370482236146927,0.157778617369308
"667","pdw","AWHC.50",0.383142799139023,0.14296380630427
"93","sla","H1.MoistCClass",0.383482486009598,0.142579881204849
"408","sla","DWASand",0.385294109582901,0.140544186390853
"904","pdw","MaxEffervescence",0.392078429460526,0.13309719894121
"173","sla","H1.Depth",0.421347051858902,0.104077092147845
"233","sla","Tot.DryValue",0.454406946897507,0.0770202034561391
"138","sla","H1.pH",0.488855332136154,0.0546609596699268
"947","pdw","ARTR2",0.499516159296036,0.0488333152038112
"743","sla","MaxSand",0.511640727519989,0.0427822655185437
"47","sla","H1.DryValue",0.594088554382324,0.0152386617061016
"302","sla","Tot.MoistValue",0.617191970348358,0.0108629092209567
"631","pdw","EfferScale.50",0.669934511184692,0.00452071151600353
